,jlinalg.csv,superwaba.csv,fritzing.csv,playerstage.csv,knowledge.csv,massiv.csv,rtrt-on-gpu.csv,amateur-scrolls.csv,quarkplusplus.csv,oscarmcmaster.csv
amateur-scrolls.csv,0.6,0.8,0.9,0.75,0.8,0.98,0.0,0.67,0.75,0.95
fritzing.csv,0.66,0.54,0.56,0.49,0.43,0.59,0.88,0.86,0.53,0.49
jlinalg.csv,0.5,0.58,0.45,0.4,0.42,0.52,0.41,0.4,0.6,0.45
knowledge.csv,0.5,0.42,0.44,0.35,0.4,0.41,0.39,0.38,0.5,0.35
massiv.csv,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.5
oscarmcmaster.csv,0.87,0.58,0.45,0.95,0.94,0.86,0.86,0.93,0.78,0.98
playerstage.csv,0.9,0.62,0.49,0.6,0.5,0.87,0.78,0.92,0.5,0.71
quarkplusplus.csv,0.55,0.63,0.56,0.62,0.46,0.54,0.67,0.43,0.7,0.55
rtrt-on-gpu.csv,0.88,0.81,0.82,0.57,0.76,0.57,0.92,0.88,0.9,0.54
superwaba.csv,0.33,0.54,0.43,0.46,0.33,0.48,0.82,0.37,0.46,0.43
