,jlinalg.csv,superwaba.csv,fritzing.csv,playerstage.csv,knowledge.csv,massiv.csv,rtrt-on-gpu.csv,amateur-scrolls.csv,quarkplusplus.csv,oscarmcmaster.csv
amateur-scrolls.csv,0.18,0.02,0.07,0.02,0.08,0.25,0.0,0.9,0.12,0.15
fritzing.csv,0.54,0.64,0.99,0.64,0.69,0.5,0.4,0.2,0.38,0.55
jlinalg.csv,1.0,0.5,0.86,0.86,0.84,0.75,0.5,1.0,0.75,0.72
knowledge.csv,0.92,0.96,0.94,1.0,1.0,1.0,0.9,1.0,0.88,0.98
massiv.csv,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.02
oscarmcmaster.csv,0.4,0.64,0.82,0.16,0.26,0.5,0.1,0.25,0.25,0.91
playerstage.csv,0.2,0.54,0.53,0.9,0.52,0.25,0.1,0.15,0.33,0.32
quarkplusplus.csv,0.52,0.58,0.53,0.57,0.42,0.75,0.2,0.9,0.96,0.62
rtrt-on-gpu.csv,0.14,0.3,0.26,0.26,0.29,0.5,1.0,0.1,0.12,0.45
superwaba.csv,0.48,0.98,0.62,0.64,0.61,1.0,0.2,0.75,0.71,0.62
