,jlinalg.csv,superwaba.csv,fritzing.csv,playerstage.csv,knowledge.csv,massiv.csv,rtrt-on-gpu.csv,amateur-scrolls.csv,quarkplusplus.csv,oscarmcmaster.csv
amateur-scrolls.csv,0.21,0.02,0.09,0.02,0.1,0.29,0.0,0.92,0.15,0.18
fritzing.csv,0.56,0.67,0.99,0.63,0.71,0.52,0.45,0.24,0.42,0.55
jlinalg.csv,1.0,0.52,0.59,0.63,0.69,0.62,0.15,0.33,0.58,0.56
knowledge.csv,0.0,0.0,0.13,0.17,1.0,0.36,0.09,0.51,0.13,0.17
massiv.csv,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.02
oscarmcmaster.csv,0.34,0.65,0.49,0.19,0.31,0.53,0.12,0.29,0.29,0.92
playerstage.csv,0.24,0.58,0.56,0.92,0.58,0.29,0.12,0.18,0.37,0.36
quarkplusplus.csv,0.54,0.62,0.56,0.6,0.48,0.7,0.23,0.62,0.97,0.61
rtrt-on-gpu.csv,0.17,0.34,0.3,0.29,0.31,0.52,0.99,0.12,0.14,0.46
superwaba.csv,0.52,0.98,0.63,0.66,0.64,0.84,0.24,0.68,0.7,0.59
