,jlinalg.csv,superwaba.csv,fritzing.csv,playerstage.csv,knowledge.csv,massiv.csv,rtrt-on-gpu.csv,amateur-scrolls.csv,quarkplusplus.csv,oscarmcmaster.csv
amateur-scrolls.csv,0.9,0.2,0.5,0.25,1.0,0.02,0.0,1.0,0.75,0.32
fritzing.csv,0.84,0.67,1.0,0.52,0.98,0.01,0.5,0.57,0.53,0.24
jlinalg.csv,1.0,0.44,0.52,0.47,0.95,0.01,0.1,0.32,0.45,0.21
knowledge.csv,0.77,0.34,0.48,0.42,1.0,0.01,0.16,0.34,0.4,0.21
massiv.csv,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5
oscarmcmaster.csv,0.65,0.52,0.49,0.43,1.0,0.01,0.14,0.36,0.67,0.98
playerstage.csv,1.0,0.6,0.67,0.98,1.0,0.01,0.11,0.25,0.57,0.23
quarkplusplus.csv,0.84,0.63,0.64,0.66,1.0,0.01,0.13,0.35,1.0,0.28
rtrt-on-gpu.csv,0.88,0.47,0.48,0.26,0.86,0.01,0.83,0.25,0.3,0.19
superwaba.csv,0.89,0.98,0.62,0.63,0.97,0.01,0.18,0.39,0.61,0.24
