,barracudamvc.csv,openintents.csv,arsenal-1.csv,alembik.csv,mumble.csv,ontopia.csv,irplus.csv,lite.csv,tweetsharp.csv,ta3d.csv
alembik.csv,0.47,0.43,0.11,0.82,0.6,0.25,0.28,0.73,0.43,0.43
arsenal-1.csv,0.7,0.17,0.7,0.05,0.12,0.05,0.08,0.13,0.07,0.06
barracudamvc.csv,0.77,0.87,0.96,0.91,1.0,0.89,1.0,0.93,0.98,1.0
irplus.csv,0.69,0.83,0.22,0.73,0.68,0.39,0.6,0.8,0.67,0.51
lite.csv,0.17,0.13,0.56,0.09,0.08,0.32,0.2,0.8,0.12,0.11
mumble.csv,0.68,0.91,0.52,0.09,0.84,0.8,0.52,0.33,0.31,0.83
ontopia.csv,0.17,0.83,0.33,0.41,0.8,0.78,0.2,0.53,0.83,0.86
openintents.csv,0.33,0.65,0.93,0.95,0.44,0.33,0.88,0.8,0.64,0.71
ta3d.csv,0.32,0.13,0.7,0.05,0.12,0.28,0.28,0.07,0.07,0.54
tweetsharp.csv,0.34,0.52,0.89,0.82,0.68,0.5,0.44,0.8,0.76,0.57
