,jedit.csv,jahshaka.csv,open-media-library.csv,benojt.csv,jatlas.csv,wheat.csv,panda3d.csv
benojt.csv,0.62,0.31,0.63,1.0,0.14,0.7,0.47
jahshaka.csv,0.28,0.95,0.15,0.63,0.06,0.24,0.2
jatlas.csv,0.1,0.0,0.09,0.02,1.0,0.0,0.0
jedit.csv,0.98,0.48,0.45,0.8,0.21,0.56,0.38
open-media-library.csv,0.35,0.17,1.0,0.46,0.15,0.3,0.25
panda3d.csv,0.33,0.08,0.28,0.26,0.12,0.55,0.96
wheat.csv,0.4,0.32,0.47,0.58,0.08,0.96,0.36
