,jedit.csv,jahshaka.csv,open-media-library.csv,benojt.csv,jatlas.csv,wheat.csv,panda3d.csv
benojt.csv,0.98,1.0,1.0,1.0,1.0,1.0,1.0
jahshaka.csv,0.21,0.91,0.1,0.48,0.2,0.14,0.15
jatlas.csv,0.07,0.0,0.05,0.01,1.0,0.0,0.0
jedit.csv,0.98,0.73,0.48,0.66,0.4,0.57,0.42
open-media-library.csv,0.34,0.18,1.0,0.3,0.4,0.21,0.21
panda3d.csv,0.28,0.09,0.2,0.15,0.4,0.54,0.92
wheat.csv,0.31,0.64,0.52,0.41,0.2,0.96,0.42
