,openwbem.csv,x-ray-mule.csv,cleartk.csv,log4net.csv,opensim4opencog.csv,ofbiz.csv,ibatisdb.csv,power-architect.csv
cleartk.csv,0.46,0.5,0.14,0.52,0.62,0.67,0.63,0.79
ibatisdb.csv,0.25,0.4,0.36,0.18,0.49,0.09,0.15,0.57
log4net.csv,0.16,0.25,0.14,0.12,0.35,0.07,0.21,0.36
ofbiz.csv,0.77,0.3,0.71,0.69,0.82,0.38,0.62,0.64
opensim4opencog.csv,0.25,0.6,0.36,0.46,0.27,0.31,0.28,0.57
openwbem.csv,0.25,0.85,0.14,0.68,0.21,0.56,0.8,0.43
power-architect.csv,0.98,1.0,0.86,0.87,0.94,0.56,0.82,0.14
x-ray-mule.csv,0.19,0.2,0.36,0.44,0.13,0.68,0.29,0.14
