,sauerbraten.csv,brlcad.csv,linuxsh.csv,konversation.csv,gnupdate.csv,ogre.csv,bdbbasic.csv,qse.csv,turbotrader-bos.csv,projecteqemu.csv,modplug.csv,openfrag.csv,xapian.csv,google-gears.csv,linux-ntfs.csv,sandiaportals.csv,nativeclient.csv,genoviz.csv
bdbbasic.csv,0.74,0.35,0.19,0.33,0.41,0.65,0.97,0.69,0.61,0.61,0.72,0.56,0.43,0.62,0.54,0.58,0.5,0.2
brlcad.csv,0.76,0.97,0.27,0.19,0.18,0.91,0.44,0.42,0.42,0.58,0.78,0.69,0.38,0.79,0.64,0.85,0.71,0.14
genoviz.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.19,0.2,0.0,0.0,0.07,0.0,0.0,0.0,0.03,1.0
gnupdate.csv,0.7,0.34,0.1,0.32,0.95,0.57,0.31,0.63,0.49,0.53,0.44,0.53,0.27,0.55,0.53,0.48,0.47,0.23
google-gears.csv,0.78,0.38,0.24,0.24,0.3,0.84,0.45,0.5,0.57,0.52,0.76,0.7,0.37,0.99,0.66,0.86,0.69,0.2
konversation.csv,0.18,0.23,0.2,0.86,0.29,0.2,0.0,0.05,0.28,0.25,0.13,0.14,0.21,0.17,0.14,0.04,0.03,0.0
linux-ntfs.csv,0.75,0.24,0.13,0.27,0.32,0.66,0.41,0.38,0.51,0.57,0.7,0.37,0.35,0.61,1.0,0.58,0.53,0.36
linuxsh.csv,0.8,0.2,0.95,0.4,0.5,0.09,0.55,0.47,0.33,0.3,0.14,0.19,0.07,0.35,0.36,0.46,0.13,0.36
modplug.csv,0.75,0.41,0.29,0.29,0.36,0.68,0.45,0.63,0.58,0.62,0.99,0.68,0.48,0.77,0.65,0.84,0.7,0.29
nativeclient.csv,0.66,0.37,0.27,0.32,0.32,0.54,0.54,0.59,0.55,0.59,0.8,0.65,0.48,0.64,0.55,0.66,1.0,0.27
ogre.csv,0.76,0.4,0.29,0.21,0.32,1.0,0.44,0.59,0.5,0.62,0.78,0.71,0.37,0.86,0.64,0.85,0.74,0.18
openfrag.csv,0.79,0.41,0.29,0.29,0.32,0.6,0.44,0.6,0.58,0.51,0.62,0.96,0.34,0.67,0.61,0.86,0.73,0.23
projecteqemu.csv,0.76,0.48,0.25,0.39,0.65,0.19,0.47,0.61,0.58,0.94,0.52,0.43,0.36,0.42,0.61,0.64,0.38,0.19
qse.csv,0.78,0.4,0.29,0.43,0.5,0.42,0.61,0.99,0.59,0.7,0.59,0.55,0.46,0.61,0.61,0.62,0.5,0.27
sandiaportals.csv,0.78,0.44,0.51,0.29,0.34,0.43,0.52,0.66,0.56,0.51,0.74,0.75,0.43,0.61,0.58,1.0,0.63,0.22
sauerbraten.csv,1.0,0.26,0.27,0.38,0.32,0.46,0.59,0.62,0.57,0.49,0.64,0.57,0.35,0.54,0.6,0.73,0.71,0.13
turbotrader-bos.csv,0.69,0.22,0.35,0.38,0.48,0.47,0.38,0.54,0.97,0.5,0.33,0.4,0.11,0.29,0.44,0.52,0.15,0.2
xapian.csv,0.58,0.24,0.21,0.36,0.41,0.55,0.59,0.61,0.56,0.6,0.55,0.44,0.96,0.62,0.56,0.62,0.37,0.37
