,paintown.csv,triplea.csv,fbmanager.csv,google-caja.csv,myfaces.csv,k3b.csv,dspace-gsoc.csv,itext.csv,powerfolder.csv,smartgwt.csv,fido.csv,megameknet.csv,fityk.csv,ondex.csv,poormans.csv,fleet-simulator.csv,hibernate.csv,ninject.csv
dspace-gsoc.csv,0.68,0.75,0.62,0.74,0.88,0.71,0.78,0.5,0.4,0.36,1.0,0.75,0.7,0.85,0.65,0.91,0.96,0.2
fbmanager.csv,0.24,0.22,0.65,0.35,0.35,0.28,0.36,0.5,0.8,0.21,0.25,0.42,0.39,0.03,0.76,0.24,0.0,1.0
fido.csv,0.0,0.09,0.0,0.32,0.0,0.02,0.0,0.0,0.0,0.01,1.0,0.0,0.0,0.06,0.0,0.11,0.19,0.0
fityk.csv,0.62,0.84,0.76,0.83,0.81,0.47,0.44,0.68,0.8,0.35,0.25,0.78,0.7,0.52,0.91,0.3,0.48,1.0
fleet-simulator.csv,0.84,0.91,0.82,0.87,0.92,1.0,0.89,1.0,0.8,0.47,1.0,0.84,0.86,1.0,1.0,0.98,0.78,0.8
google-caja.csv,0.76,0.97,0.74,0.83,1.0,0.59,0.94,0.68,1.0,1.0,1.0,0.86,0.8,0.97,1.0,0.81,0.94,1.0
hibernate.csv,0.5,0.66,0.47,0.59,0.88,0.5,0.69,0.38,1.0,0.95,1.0,0.65,0.68,0.79,0.65,0.33,0.53,1.0
itext.csv,0.51,0.88,0.82,0.96,0.9,0.62,0.92,0.74,1.0,0.96,0.5,0.78,0.66,0.55,0.65,0.33,0.61,1.0
k3b.csv,0.81,0.88,0.97,0.82,0.83,0.64,1.0,0.76,0.8,0.96,0.5,0.81,0.8,0.48,0.76,0.87,0.73,1.0
megameknet.csv,0.66,0.84,0.85,0.92,0.69,0.55,0.67,0.85,0.4,0.75,0.0,0.67,0.7,0.73,0.85,0.74,0.55,1.0
myfaces.csv,0.56,0.44,0.53,0.29,0.67,0.45,0.39,0.41,1.0,0.77,0.5,0.58,0.55,0.64,0.38,0.74,0.57,0.6
ninject.csv,0.49,0.47,0.26,0.37,0.23,0.21,0.5,0.5,0.6,0.73,0.5,0.26,0.39,0.12,0.12,0.26,0.22,1.0
ondex.csv,0.34,0.22,0.15,0.05,0.75,0.38,0.28,0.12,0.4,0.02,0.5,0.26,0.45,0.55,0.76,0.2,0.36,0.2
paintown.csv,0.68,0.66,0.88,0.86,0.92,0.59,0.78,0.53,0.8,0.9,0.75,0.99,0.73,0.94,0.71,0.83,0.84,1.0
poormans.csv,0.18,0.5,0.18,0.17,0.5,0.33,0.39,0.82,0.4,0.32,0.0,0.41,0.32,0.61,0.76,0.02,0.22,0.2
powerfolder.csv,0.43,0.19,0.59,0.14,0.54,0.55,0.31,0.18,1.0,0.32,0.5,0.58,0.39,0.24,0.38,0.44,0.42,0.2
smartgwt.csv,0.54,0.56,0.79,0.87,0.6,0.57,0.69,0.12,1.0,0.77,1.0,0.55,0.68,0.64,0.71,0.04,0.4,1.0
triplea.csv,0.57,0.72,0.62,0.79,1.0,0.71,0.58,0.56,1.0,0.69,0.75,0.61,0.61,0.67,0.85,0.87,0.61,0.6
