,f1,g,recall,precision,pf,wins
dspace-gsoc.csv,0.525,0.55,0.725,0.42999999999999994,0.63,6
fbmanager.csv,0.385,0.4,0.35,0.65,0.135,8
fido.csv,0.0,0.0,0.0,0.0,0.0,0
fityk.csv,0.44,0.585,0.69,0.46499999999999997,0.53,7
fleet-simulator.csv,0.585,0.53,0.88,0.5,0.785,10
google-caja.csv,0.575,0.59,0.94,0.46499999999999997,0.73,13
hibernate.csv,0.5,0.575,0.655,0.555,0.375,15
itext.csv,0.525,0.595,0.76,0.52,0.45,16
k3b.csv,0.5900000000000001,0.635,0.81,0.45,0.62,14
megameknet.csv,0.5549999999999999,0.59,0.715,0.475,0.6,11
myfaces.csv,0.53,0.57,0.555,0.6799999999999999,0.22,17
ninject.csv,0.39,0.405,0.38,0.52,0.27,4
ondex.csv,0.335,0.33999999999999997,0.31000000000000005,0.585,0.195,2
paintown.csv,0.495,0.42,0.815,0.43,0.85,1
poormans.csv,0.33499999999999996,0.37,0.325,0.575,0.185,3
powerfolder.csv,0.35,0.445,0.405,0.53,0.19,5
smartgwt.csv,0.42,0.57,0.66,0.44999999999999996,0.435,9
triplea.csv,0.515,0.6,0.6799999999999999,0.49,0.515,12
