,atlc.csv,theresa.csv,pfaedit.csv,jmol.csv,snakeyaml.csv,adobe-source.csv,wxcode.csv,ipfilter.csv,trinitycore.csv,rockbox.csv
adobe-source.csv,1.0,1.0,0.91,0.71,0.6,0.13,0.58,0.87,0.82,0.63
atlc.csv,0.02,0.76,0.64,0.81,0.47,0.71,0.9,0.86,0.66,0.6
ipfilter.csv,0.87,0.85,0.92,0.85,0.66,0.8,0.76,0.0,0.78,0.73
jmol.csv,0.87,1.07,0.78,0.02,0.88,0.85,0.8,0.61,0.91,0.81
pfaedit.csv,0.93,0.57,0.05,0.59,0.34,0.57,0.63,0.72,0.72,0.7
rockbox.csv,0.85,0.4,0.6,0.7,0.83,0.8,0.59,0.63,0.48,0.05
snakeyaml.csv,0.82,0.89,0.81,0.68,0.04,0.85,0.74,1.05,0.74,0.86
theresa.csv,1.0,0.0,1.0,1.0,0.89,1.0,1.0,1.0,0.98,1.0
trinitycore.csv,0.95,0.24,0.61,0.76,0.9,0.75,0.75,0.67,0.11,0.81
wxcode.csv,1.0,1.0,0.89,0.94,0.89,0.84,0.0,0.91,0.89,0.95
