,atlc.csv,theresa.csv,pfaedit.csv,jmol.csv,snakeyaml.csv,adobe-source.csv,wxcode.csv,ipfilter.csv,trinitycore.csv,rockbox.csv
adobe-source.csv,0.0,0.02,0.03,0.39,0.4,0.01,0.08,0.0,0.1,0.25
atlc.csv,0.0,0.76,0.51,0.78,0.46,0.68,0.55,0.79,0.52,0.56
ipfilter.csv,0.86,0.78,0.91,0.83,0.53,0.8,0.63,0.0,0.75,0.66
jmol.csv,0.83,0.84,0.77,0.0,0.61,0.84,0.8,0.53,0.9,0.78
pfaedit.csv,0.93,0.46,0.03,0.22,0.28,0.33,0.26,0.26,0.43,0.12
rockbox.csv,0.0,0.22,0.11,0.35,0.15,0.32,0.14,0.16,0.36,0.0
snakeyaml.csv,0.66,0.82,0.63,0.3,0.0,0.57,0.74,1.0,0.64,0.84
theresa.csv,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0
trinitycore.csv,0.03,0.24,0.2,0.57,0.5,0.27,0.22,0.42,0.01,0.19
wxcode.csv,0.0,0.02,0.03,0.0,0.01,0.08,0.0,0.0,0.07,0.03
