,reactos-mirror.csv,critterding.csv,etics.csv,badtrinity-zero.csv,mcore3d.csv,xbplayer.csv,kvs.csv,ogrehg.csv,genecys.csv,monetdb.csv,projecteqemu.csv,modplug.csv,kftpgrabber.csv,netatalk.csv,fmri-dmt.csv,bibletime.csv,passwordsafe.csv,xmoto.csv,genoviz.csv,miranda.csv
badtrinity-zero.csv,0.06,0.0,0.46,0.67,0.44,0.0,0.7,0.77,0.9,0.94,0.33,0.71,0.73,0.93,0.5,0.8,0.86,0.81,0.6,0.94
bibletime.csv,0.72,0.65,0.85,0.66,0.73,0.62,0.7,0.73,0.52,0.62,0.81,0.67,0.9,0.86,0.83,0.67,0.67,0.58,1.0,0.99
critterding.csv,0.57,0.65,1.0,0.78,0.82,0.55,0.9,0.69,0.84,0.77,0.92,0.67,0.9,0.57,1.0,0.89,0.91,0.75,1.0,0.74
etics.csv,0.27,0.44,0.69,0.25,0.4,0.57,0.15,0.33,0.47,0.26,0.42,0.35,0.77,0.36,0.33,0.53,0.16,0.25,0.6,0.68
fmri-dmt.csv,0.66,0.56,0.69,0.63,0.64,0.93,0.25,0.62,0.48,0.26,0.39,0.55,0.33,0.71,1.0,0.73,0.51,0.58,0.4,0.3
genecys.csv,0.8,0.82,0.62,0.51,0.79,0.55,0.6,0.74,0.74,0.89,0.39,0.76,0.97,0.43,0.5,0.59,0.39,0.64,0.6,0.87
genoviz.csv,0.06,0.29,0.23,0.19,0.23,0.36,0.1,0.16,0.35,0.28,0.36,0.24,0.47,0.21,0.17,0.26,0.12,0.19,1.0,0.28
kftpgrabber.csv,0.03,0.56,0.31,0.28,0.34,0.88,0.1,0.27,0.02,0.53,0.56,0.35,0.9,0.5,0.33,0.8,0.39,0.42,1.0,0.95
kvs.csv,0.24,0.24,0.54,0.37,0.08,0.19,0.7,0.27,0.02,0.34,0.44,0.33,0.17,0.5,0.83,0.2,0.28,0.06,0.8,0.43
mcore3d.csv,0.01,0.38,0.0,0.34,0.72,0.64,0.75,0.42,0.81,0.66,0.69,0.44,0.63,0.79,0.83,0.42,0.47,0.53,1.0,0.65
miranda.csv,0.0,0.0,0.31,0.42,0.29,0.0,0.45,0.53,0.74,0.79,0.06,0.44,0.57,1.0,0.17,0.56,0.79,0.64,0.2,0.8
modplug.csv,0.88,0.82,1.0,0.68,0.93,0.93,0.8,0.92,0.98,0.98,0.94,0.78,1.0,0.86,0.5,0.94,0.91,0.94,1.0,0.94
monetdb.csv,0.28,0.24,0.15,0.33,0.56,0.29,0.0,0.17,0.47,0.64,0.5,0.4,0.77,0.36,0.17,0.17,0.49,0.56,0.8,0.5
netatalk.csv,0.4,0.35,0.92,0.63,0.67,0.55,1.0,0.8,0.89,0.85,0.69,0.8,0.8,0.64,1.0,0.71,0.74,0.72,0.6,0.97
ogrehg.csv,0.39,0.62,0.62,0.44,0.73,0.76,0.2,0.66,0.77,0.7,0.83,0.58,0.7,0.5,0.83,0.55,0.4,0.39,1.0,0.8
passwordsafe.csv,0.5,0.53,1.0,0.63,0.76,0.62,0.35,0.81,0.87,0.79,0.83,0.75,1.0,0.79,0.5,0.88,0.72,0.67,1.0,0.82
projecteqemu.csv,0.71,0.38,0.77,0.37,0.49,0.88,0.1,0.55,0.53,0.6,0.75,0.55,0.67,0.86,1.0,0.61,0.56,0.42,1.0,0.85
reactos-mirror.csv,0.61,0.71,1.0,0.59,0.74,0.79,0.5,0.76,0.76,0.79,0.81,0.75,0.9,1.0,0.67,0.82,0.67,0.72,0.8,1.0
xbplayer.csv,0.29,0.41,0.38,0.48,0.36,0.69,0.25,0.46,0.6,0.55,0.64,0.65,0.9,0.36,0.67,0.48,0.35,0.5,1.0,0.7
xmoto.csv,0.42,0.03,0.54,0.46,0.34,0.43,0.55,0.47,0.6,0.66,0.28,0.56,0.6,0.93,0.33,0.67,0.53,0.69,0.4,0.54
