,awemud.csv,go.csv,kwave.csv,lsb.csv,dvd-create.csv,bullet.csv,qcad2.csv,gbif-indexingtoolkit.csv,qtwin.csv,mpgravity.csv,customwars.csv,amygdala.csv,acdk.csv,roller.csv,xinity.csv,gss.csv,linux-ntfs.csv,growl-for-windows.csv,nativeclient.csv,libarchive.csv
acdk.csv,0.54,0.94,0.75,0.83,0.67,0.67,0.52,0.62,0.68,0.5,0.65,0.8,0.42,0.59,0.44,0.83,0.38,0.79,0.9,0.76
amygdala.csv,0.42,0.5,0.6,0.86,0.0,0.92,0.53,0.54,0.92,0.36,0.83,0.49,0.98,0.79,0.92,0.58,0.45,0.93,0.8,0.0
awemud.csv,0.37,0.46,0.62,0.75,0.41,0.91,0.43,0.44,0.81,0.0,0.34,0.46,0.74,0.37,0.48,0.82,0.38,0.62,0.96,0.65
bullet.csv,0.42,0.5,0.46,0.64,0.9,0.36,0.51,0.59,0.84,0.75,0.67,0.43,0.43,0.71,0.62,0.37,0.6,0.43,0.58,0.67
customwars.csv,0.37,0.63,0.45,0.86,0.91,0.39,0.51,0.43,0.54,0.0,0.56,0.47,0.41,0.45,0.28,0.47,0.58,0.5,0.73,0.56
dvd-create.csv,0.44,0.42,0.46,0.65,0.42,0.43,0.45,0.41,0.5,0.0,0.35,0.45,0.48,0.38,0.36,0.34,0.38,0.45,0.5,0.55
gbif-indexingtoolkit.csv,0.42,0.53,0.59,0.57,0.4,0.9,0.51,0.81,0.6,0.0,0.41,0.56,0.62,0.63,0.54,0.39,0.53,0.64,0.61,0.49
go.csv,0.46,0.47,0.6,0.71,0.57,0.41,0.45,0.35,0.51,0.0,0.33,0.48,0.55,0.41,0.35,0.41,0.37,0.63,0.61,0.56
growl-for-windows.csv,0.33,0.0,0.47,0.0,0.0,0.0,0.4,0.35,0.0,0.0,0.32,0.38,0.0,0.94,0.36,0.36,0.67,0.63,0.0,0.83
gss.csv,0.34,0.38,0.39,0.49,0.34,0.33,0.4,0.35,0.46,0.0,0.32,0.42,0.41,0.33,0.29,0.4,0.32,0.32,0.42,0.39
kwave.csv,0.46,0.4,0.77,0.55,0.4,0.43,0.51,0.35,0.61,0.67,0.34,0.49,0.44,0.32,0.3,0.46,0.43,0.33,0.49,0.45
libarchive.csv,0.34,0.38,0.39,0.88,0.39,0.32,0.45,0.35,0.48,0.38,0.34,0.43,0.38,0.35,0.3,0.48,0.35,0.64,0.44,0.45
linux-ntfs.csv,0.38,0.44,0.38,0.61,0.39,0.38,0.53,0.44,0.99,0.9,0.38,0.43,0.43,0.43,0.33,0.36,0.41,0.35,0.51,0.48
lsb.csv,0.32,0.47,0.41,0.49,0.39,0.45,0.54,0.59,0.62,0.0,0.35,0.44,0.53,0.51,0.36,0.33,0.45,0.56,0.63,0.59
mpgravity.csv,0.41,0.43,0.41,0.59,0.38,0.38,0.47,0.38,0.0,0.77,0.33,0.42,0.0,0.35,0.32,0.33,0.38,0.47,0.54,0.46
nativeclient.csv,0.42,0.48,0.55,0.84,0.53,0.52,0.45,0.39,0.56,0.42,0.41,0.51,0.44,0.43,0.38,0.46,0.39,0.69,0.6,0.54
qcad2.csv,0.53,0.65,0.71,0.86,0.92,0.54,0.49,0.5,0.73,0.38,0.58,0.88,0.57,0.48,0.41,0.52,0.39,0.89,0.57,0.64
qtwin.csv,0.88,0.0,0.0,0.0,0.0,0.83,0.86,0.58,1.0,0.86,0.68,0.75,0.98,0.65,0.7,0.83,0.53,0.67,0.93,0.0
roller.csv,0.48,0.4,0.52,0.56,0.39,0.48,0.48,0.36,0.53,0.58,0.34,0.5,0.47,0.42,0.33,0.36,0.4,0.46,0.55,0.44
xinity.csv,0.9,0.43,0.95,0.64,0.48,0.8,0.73,0.43,0.68,0.38,0.83,0.92,0.53,0.53,0.42,0.37,0.51,0.52,0.53,0.5
