,awemud.csv,go.csv,kwave.csv,lsb.csv,dvd-create.csv,bullet.csv,qcad2.csv,gbif-indexingtoolkit.csv,qtwin.csv,mpgravity.csv,customwars.csv,amygdala.csv,acdk.csv,roller.csv,xinity.csv,gss.csv,linux-ntfs.csv,growl-for-windows.csv,nativeclient.csv,libarchive.csv
acdk.csv,0.89,0.94,0.25,0.33,1.0,0.67,0.56,0.23,0.01,0.5,0.31,0.6,0.58,0.88,0.7,1.0,0.56,0.89,0.86,0.59
amygdala.csv,0.74,1.0,0.25,0.43,1.0,0.75,0.59,0.14,0.0,0.26,0.17,0.68,0.4,0.6,0.67,0.46,0.45,0.93,0.8,0.0
awemud.csv,0.82,0.87,0.31,0.15,0.88,0.91,0.49,0.22,0.0,0.0,0.18,0.68,0.39,0.69,0.67,0.64,0.51,0.77,0.85,0.6
bullet.csv,0.75,0.64,0.15,0.76,0.9,0.87,0.43,0.19,0.01,0.0,0.09,0.6,0.34,0.45,0.67,0.63,0.45,0.62,0.69,0.67
customwars.csv,0.85,0.89,0.15,1.0,0.91,0.82,0.57,0.13,0.01,0.0,0.22,0.65,0.6,0.7,0.61,0.88,0.58,0.69,0.76,0.8
dvd-create.csv,0.76,0.67,0.22,0.17,0.97,0.87,0.34,0.24,0.0,0.0,0.16,0.64,0.26,0.63,0.64,0.61,0.49,0.65,0.65,0.49
gbif-indexingtoolkit.csv,0.77,0.65,0.22,0.24,0.82,0.6,0.38,0.31,0.0,0.0,0.15,0.47,0.35,0.63,0.64,0.51,0.47,0.7,0.58,0.4
go.csv,0.76,0.84,0.4,0.15,0.78,0.82,0.48,0.15,0.0,0.0,0.15,0.56,0.45,0.72,0.61,0.66,0.49,0.9,0.7,0.51
growl-for-windows.csv,0.87,0.0,0.21,0.0,1.0,0.0,0.44,0.14,0.0,0.0,0.15,0.6,0.0,0.88,0.55,0.62,1.0,0.93,0.0,1.0
gss.csv,0.76,0.64,0.23,0.7,0.9,0.78,0.51,0.19,0.01,0.0,0.16,0.56,0.37,0.61,0.62,0.8,0.52,0.61,0.64,0.51
kwave.csv,0.78,0.64,0.36,0.25,0.82,0.8,0.4,0.21,0.0,1.0,0.15,0.47,0.31,0.62,0.63,0.77,0.6,0.62,0.61,0.41
libarchive.csv,0.79,0.75,0.22,0.62,0.89,0.8,0.39,0.16,0.01,0.21,0.17,0.6,0.45,0.62,0.62,0.7,0.5,0.73,0.68,0.63
linux-ntfs.csv,0.8,0.67,0.19,0.58,0.89,0.84,0.36,0.22,0.02,0.1,0.15,0.57,0.36,0.6,0.56,0.67,0.59,0.54,0.63,0.56
lsb.csv,0.83,0.6,0.19,0.73,0.8,0.81,0.51,0.23,0.01,0.0,0.16,0.49,0.73,0.62,0.54,0.6,0.47,0.72,0.64,0.55
mpgravity.csv,0.75,0.77,0.18,0.24,0.81,0.76,0.34,0.2,0.0,0.62,0.15,0.54,0.0,0.65,0.63,0.59,0.48,0.71,0.69,0.45
nativeclient.csv,0.77,0.84,0.35,0.12,0.94,0.85,0.46,0.18,0.0,0.38,0.22,0.56,0.48,0.75,0.6,0.73,0.52,0.77,0.77,0.52
qcad2.csv,0.79,0.84,0.43,0.29,1.0,0.82,0.52,0.2,0.01,0.35,0.23,0.62,0.69,0.67,0.62,0.78,0.51,0.56,0.67,0.62
qtwin.csv,0.75,0.0,0.0,0.0,0.0,0.5,0.57,0.19,0.03,0.29,0.14,0.75,0.35,0.75,0.65,0.83,0.6,0.67,0.79,0.0
roller.csv,0.77,0.64,0.26,0.24,0.8,0.75,0.37,0.21,0.0,0.31,0.18,0.5,0.3,0.81,0.58,0.58,0.45,0.72,0.59,0.42
xinity.csv,0.56,0.61,0.36,0.13,0.77,0.71,0.27,0.23,0.0,0.23,0.22,0.42,0.19,0.61,0.72,0.61,0.4,0.67,0.57,0.36
