,wxcrp.csv,openmeetings.csv,jnode.csv,gnukeda.csv,etherboot.csv,aufs.csv,freebios.csv,gebr.csv,pgui.csv,tradelink.csv,google-gears.csv,gstreamer.csv,crux-framework.csv,metacosm.csv
aufs.csv,0.31,0.22,0.42,0.16,0.31,0.19,0.02,0.0,0.01,0.03,0.11,0.01,0.5,0.45
crux-framework.csv,0.4,0.23,0.05,0.25,0.02,0.64,0.57,0.13,0.44,0.1,0.19,0.1,0.13,0.16
etherboot.csv,0.04,0.07,0.0,0.03,0.38,0.06,0.16,0.21,0.97,0.97,0.08,0.0,0.72,0.97
freebios.csv,0.69,0.15,0.4,0.69,0.44,0.15,0.27,0.82,0.34,0.69,0.7,0.41,0.75,0.1
gebr.csv,0.99,0.93,0.88,0.72,0.66,0.92,0.88,0.21,0.89,0.94,0.89,0.75,1.0,1.0
gnukeda.csv,0.87,0.66,0.53,0.19,0.84,0.51,0.45,0.26,0.43,0.57,0.95,0.12,0.78,0.94
google-gears.csv,0.45,0.81,0.79,0.34,0.85,1.0,0.92,0.95,0.98,0.79,0.38,0.78,0.64,0.9
gstreamer.csv,0.73,0.93,0.74,0.38,0.79,0.82,0.75,0.18,0.76,0.74,0.59,0.26,0.94,1.0
jnode.csv,0.03,0.2,0.21,0.22,0.13,0.02,0.04,0.24,0.05,0.03,0.11,0.05,0.17,0.0
metacosm.csv,0.12,0.47,0.56,0.25,0.21,0.09,0.2,0.03,0.29,0.47,0.08,0.12,0.32,0.23
openmeetings.csv,0.19,0.19,0.41,0.06,0.49,0.41,0.06,0.08,0.47,0.16,0.19,0.1,0.32,0.35
pgui.csv,0.55,0.9,0.0,0.31,0.67,0.7,0.24,0.32,0.3,0.6,0.43,0.0,0.99,1.0
tradelink.csv,0.09,0.9,0.77,0.22,0.87,0.9,0.69,0.47,0.87,0.31,0.16,0.81,0.83,0.84
wxcrp.csv,0.24,0.78,0.83,0.59,0.97,0.6,0.69,0.11,0.72,0.42,0.54,0.52,0.7,0.87
