,sabbu.csv,gamestone.csv,beast-mcmc.csv,bscwweasel.csv,pdfedit.csv,codeblocks.csv,badtrinitycore.csv,redshell.csv,zengine.csv,jbasic.csv,iaml.csv,silvertree.csv,t-2.csv,xreal.csv,zabbix.csv,modplug.csv,xinity.csv
badtrinitycore.csv,0.72,0.62,0.82,0.76,0.95,0.81,0.06,0.93,0.93,0.83,0.79,0.74,0.98,0.45,0.97,0.82,0.8
beast-mcmc.csv,0.64,0.8,0.02,0.53,0.72,0.6,0.64,0.73,0.73,0.76,0.67,0.63,0.66,0.67,0.65,0.7,0.72
bscwweasel.csv,0.98,1.0,0.89,0.15,0.9,0.94,0.94,0.94,0.98,0.97,0.95,1.0,0.95,1.0,0.98,0.96,1.0
codeblocks.csv,0.59,0.89,0.87,0.81,0.7,0.01,0.7,0.89,0.91,0.7,0.89,0.76,0.65,1.07,0.88,0.84,0.64
gamestone.csv,0.97,0.0,0.86,0.95,0.98,0.92,0.81,0.94,0.97,0.87,0.9,0.92,0.95,0.61,1.0,0.64,0.88
iaml.csv,0.76,0.49,0.62,0.75,0.7,0.62,0.6,0.76,0.69,0.53,0.02,0.66,0.6,1.05,0.73,0.72,0.79
jbasic.csv,0.6,0.51,0.75,0.77,0.7,0.76,0.94,0.9,0.79,0.04,0.85,0.73,0.87,1.01,0.87,0.84,0.82
modplug.csv,0.66,0.74,0.59,0.84,0.58,0.79,0.76,0.8,0.62,0.79,0.69,0.82,0.81,0.91,0.89,0.02,0.72
pdfedit.csv,0.45,0.88,0.61,0.85,0.0,0.71,0.68,0.71,0.73,0.49,0.86,0.59,0.72,0.28,0.69,0.75,0.64
redshell.csv,0.54,0.81,0.6,0.65,0.91,0.58,0.94,0.0,0.54,0.86,0.71,0.61,0.6,0.9,1.0,0.68,0.75
sabbu.csv,0.02,0.89,0.42,0.61,0.66,0.66,0.66,0.69,0.78,0.68,0.63,0.56,0.81,0.5,0.75,0.65,0.68
silvertree.csv,0.77,0.62,0.71,0.84,0.68,0.7,0.92,0.81,0.75,0.74,0.79,0.04,0.91,0.63,0.95,0.83,0.79
t-2.csv,0.99,0.96,0.88,0.82,0.8,0.92,0.75,0.82,1.1,0.83,0.83,0.65,0.12,0.73,0.99,0.61,0.7
xinity.csv,0.64,0.49,0.72,0.85,0.78,0.56,0.76,0.67,0.57,0.56,0.6,0.47,0.83,0.54,0.98,0.76,0.0
xreal.csv,0.98,1.0,1.0,1.0,1.0,1.0,0.98,0.96,1.0,0.78,1.0,1.0,0.99,0.0,1.0,1.0,0.98
zabbix.csv,0.89,0.72,0.78,0.66,0.71,0.81,0.68,0.89,0.59,0.82,0.95,0.94,0.94,0.71,0.01,0.8,0.96
zengine.csv,0.71,0.68,0.9,0.72,0.86,0.78,0.92,0.89,0.03,0.65,0.74,0.89,1.0,0.79,0.9,0.88,0.96
