,sabbu.csv,gamestone.csv,beast-mcmc.csv,bscwweasel.csv,pdfedit.csv,codeblocks.csv,badtrinitycore.csv,redshell.csv,zengine.csv,jbasic.csv,iaml.csv,silvertree.csv,t-2.csv,xreal.csv,zabbix.csv,modplug.csv,xinity.csv
badtrinitycore.csv,0.51,0.17,0.21,0.11,1.0,0.74,1.0,0.93,0.57,0.58,0.58,0.39,0.03,0.08,0.67,0.62,0.69
beast-mcmc.csv,0.61,0.12,1.0,0.21,0.5,0.85,0.25,0.96,0.8,0.67,0.6,0.52,0.15,0.04,0.7,0.7,0.63
bscwweasel.csv,0.5,0.0,0.58,1.0,0.42,0.78,0.12,1.0,0.5,0.33,0.47,0.0,0.08,0.0,0.5,0.43,0.0
codeblocks.csv,0.6,0.1,0.41,0.24,0.55,1.0,0.13,0.93,0.71,0.79,0.57,0.38,0.19,0.0,0.36,0.72,0.69
gamestone.csv,0.67,1.0,0.3,0.14,0.5,0.83,0.39,0.9,1.0,0.73,0.52,0.4,0.11,0.1,0.0,0.91,0.55
iaml.csv,0.54,0.24,0.34,0.12,0.51,0.79,0.15,0.95,0.77,0.62,0.99,0.46,0.16,0.01,0.39,0.69,0.6
jbasic.csv,0.77,0.44,0.47,0.17,0.58,0.9,0.15,0.95,1.0,0.97,0.76,0.64,0.11,0.0,0.28,0.9,0.56
modplug.csv,0.58,0.14,0.35,0.13,0.59,0.76,0.12,0.96,0.8,0.43,0.61,0.38,0.11,0.02,0.37,1.0,0.63
pdfedit.csv,0.74,0.2,0.4,0.21,1.0,0.88,0.13,0.97,0.85,0.63,0.44,0.5,0.15,0.09,0.8,0.88,0.66
redshell.csv,0.64,0.1,0.34,0.14,0.52,0.83,0.09,1.0,0.83,0.49,0.58,0.48,0.16,0.01,0.27,0.77,0.62
sabbu.csv,1.0,0.11,0.46,0.2,0.56,0.89,0.13,0.97,0.82,0.53,0.65,0.57,0.09,0.05,0.39,0.81,0.63
silvertree.csv,0.7,0.17,0.44,0.1,0.78,0.83,0.14,1.0,0.79,0.65,0.61,1.0,0.09,0.06,0.2,0.69,0.58
t-2.csv,0.41,0.1,0.22,0.1,0.51,0.69,0.11,0.95,0.64,0.45,0.57,0.46,1.0,0.04,0.34,0.75,0.63
xinity.csv,0.73,0.21,0.27,0.09,0.48,0.82,0.1,0.97,0.82,0.59,0.65,0.57,0.09,0.04,0.31,0.67,1.0
xreal.csv,1.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,0.0,0.7,0.0,0.0,1.0,1.0,0.0,0.0,0.5
zabbix.csv,0.51,0.15,0.31,0.14,0.53,0.76,0.13,0.96,0.83,0.48,0.52,0.38,0.13,0.04,0.98,0.73,0.6
zengine.csv,0.56,0.15,0.29,0.16,0.53,0.77,0.12,0.96,1.0,0.58,0.56,0.44,0.12,0.03,0.39,0.71,0.62
