,gtad.csv,projectts.csv,scen-connect.csv,wxlua.csv,ipfire-wall.csv,cubefs.csv,mumble.csv,irplus.csv,powerfolder.csv,smartgwt.csv,ondex.csv,fleet-simulator.csv,hibernate.csv,geogebra.csv,quantlib.csv,tweetsharp.csv
cubefs.csv,0.51,0.52,0.41,0.0,0.51,0.0,0.22,0.39,0.63,0.72,0.29,0.12,0.62,0.69,0.38,0.2
fleet-simulator.csv,0.94,1.0,0.66,1.0,0.95,0.62,0.98,0.77,0.84,0.36,0.94,0.0,0.66,0.78,1.0,0.8
geogebra.csv,0.0,0.04,0.39,0.25,0.16,0.18,0.28,0.61,0.64,0.08,0.08,0.0,0.48,0.0,0.05,0.07
gtad.csv,0.0,0.0,0.02,0.0,0.0,0.03,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0
hibernate.csv,0.54,0.26,0.31,0.25,0.51,0.26,0.25,0.07,0.16,0.29,0.4,1.0,0.0,0.24,0.13,0.07
ipfire-wall.csv,0.18,0.19,0.18,0.25,0.0,0.29,0.2,0.3,0.17,0.89,0.23,0.5,0.51,0.44,0.41,0.2
irplus.csv,0.32,0.33,0.2,0.25,0.41,0.59,0.58,0.0,0.34,0.58,0.46,0.88,0.38,0.23,0.42,0.8
mumble.csv,0.06,0.11,0.07,0.12,0.11,0.06,0.03,0.23,0.16,0.04,0.38,0.0,0.17,0.25,0.05,0.13
ondex.csv,0.03,0.0,0.64,0.5,0.43,0.44,0.06,0.27,0.37,0.05,0.0,0.12,0.39,0.2,0.35,0.0
powerfolder.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.0
projectts.csv,0.7,0.0,0.79,0.75,0.73,0.65,0.58,0.75,0.67,0.7,0.83,0.88,0.51,0.59,0.75,0.87
quantlib.csv,0.8,0.3,0.69,0.25,0.92,0.85,0.66,0.82,0.89,0.66,0.39,1.0,0.8,0.56,0.0,0.8
smartgwt.csv,0.9,0.74,0.49,0.88,0.89,0.85,0.82,0.41,0.36,0.0,0.45,1.0,0.48,0.54,0.56,0.6
tweetsharp.csv,0.44,0.44,0.34,0.62,0.84,0.68,0.68,0.27,0.56,0.31,0.64,0.38,0.25,0.44,0.57,0.0
wxlua.csv,0.9,0.89,0.8,0.25,0.92,0.94,0.85,0.86,0.86,0.98,0.9,0.88,0.95,0.92,0.88,0.93
