,gtad.csv,projectts.csv,scen-connect.csv,wxlua.csv,ipfire-wall.csv,cubefs.csv,mumble.csv,irplus.csv,powerfolder.csv,smartgwt.csv,ondex.csv,fleet-simulator.csv,hibernate.csv,geogebra.csv,quantlib.csv,tweetsharp.csv
cubefs.csv,0.03,0.66,0.04,1.0,0.32,1.0,0.39,0.43,0.05,0.19,0.2,0.97,0.29,0.23,0.18,0.75
fleet-simulator.csv,0.03,0.58,0.02,0.92,0.33,0.72,0.28,0.37,0.05,0.43,0.16,1.0,0.33,0.25,0.2,0.76
geogebra.csv,0.0,0.67,0.04,0.89,0.33,0.7,0.22,0.32,0.02,0.57,0.19,1.0,0.3,0.99,0.17,0.88
gtad.csv,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62,1.0,0.0,0.0
hibernate.csv,0.0,0.3,0.05,0.8,0.14,0.7,0.36,0.57,0.17,0.39,0.19,0.64,0.99,0.39,0.29,0.93
ipfire-wall.csv,0.07,0.62,0.0,0.92,1.0,0.74,0.55,0.41,0.13,0.18,0.19,0.88,0.29,0.2,0.13,0.8
irplus.csv,0.0,0.55,0.0,0.92,0.4,0.66,0.21,1.0,0.09,0.08,0.14,0.59,0.27,0.29,0.17,0.66
mumble.csv,0.2,0.5,0.2,0.83,0.56,0.9,0.92,0.47,0.14,0.8,0.22,1.0,0.43,0.4,0.17,0.75
ondex.csv,0.0,1.0,0.0,0.93,0.27,0.7,0.33,0.33,0.02,0.56,1.0,0.98,0.28,0.29,0.28,1.0
powerfolder.csv,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.33,0.0,0.5,0.43,0.0,0.0
projectts.csv,0.02,1.0,0.02,0.87,0.34,0.71,0.31,0.4,0.05,0.16,0.16,0.83,0.32,0.27,0.2,0.75
quantlib.csv,0.03,0.65,0.02,0.92,0.35,0.69,0.27,0.31,0.04,0.13,0.24,0.81,0.26,0.24,1.0,0.74
smartgwt.csv,0.03,0.5,0.03,0.92,0.31,0.7,0.23,0.42,0.1,1.0,0.2,0.65,0.36,0.26,0.2,0.81
tweetsharp.csv,0.03,0.62,0.0,0.93,0.37,0.63,0.31,0.48,0.03,0.16,0.15,0.7,0.42,0.22,0.21,1.0
wxlua.csv,0.03,0.57,0.02,0.98,0.35,0.7,0.29,0.31,0.05,0.21,0.16,0.87,0.28,0.19,0.22,0.74
