,gtad.csv,projectts.csv,scen-connect.csv,wxlua.csv,ipfire-wall.csv,cubefs.csv,mumble.csv,irplus.csv,powerfolder.csv,smartgwt.csv,ondex.csv,fleet-simulator.csv,hibernate.csv,geogebra.csv,quantlib.csv,tweetsharp.csv
cubefs.csv,0.71,0.58,0.41,0.77,0.72,0.0,0.68,0.62,0.66,0.84,0.7,0.32,0.72,0.74,0.77,0.81
fleet-simulator.csv,0.94,1.0,0.66,1.0,0.95,0.69,0.98,0.8,0.84,0.38,0.95,0.0,0.69,0.78,1.0,0.81
geogebra.csv,1.0,0.95,0.39,0.86,0.85,0.84,0.85,0.78,0.88,0.64,0.91,0.24,0.68,0.09,0.96,0.84
gtad.csv,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.97,0.99,1.0,1.0
hibernate.csv,1.13,0.95,0.31,0.94,0.98,0.77,0.69,0.84,0.25,0.5,0.68,1.24,0.05,0.52,0.8,0.67
ipfire-wall.csv,0.53,0.81,1.02,0.77,0.0,0.7,0.41,0.7,0.43,0.97,0.76,0.69,0.7,0.75,0.86,0.74
irplus.csv,1.05,0.78,1.02,0.77,0.6,0.78,0.84,0.04,0.39,1.02,0.79,1.2,0.74,0.7,0.79,0.92
mumble.csv,0.5,0.93,0.07,0.95,0.73,0.76,0.05,0.68,0.43,0.49,0.62,0.83,0.7,0.48,0.96,0.87
ondex.csv,1.0,0.97,1.19,0.65,0.79,0.7,0.92,0.81,0.88,0.79,0.06,0.17,0.73,0.73,0.58,0.9
powerfolder.csv,1.0,1.0,1.0,1.0,1.0,0.99,1.0,1.0,0.0,1.0,0.97,1.0,0.99,0.97,1.0,1.0
projectts.csv,0.86,0.0,0.79,0.92,0.76,0.71,0.67,0.76,0.7,0.9,0.87,0.94,0.65,0.63,0.79,0.87
quantlib.csv,0.8,0.66,0.69,0.79,0.92,0.87,0.75,0.89,0.91,0.95,0.56,1.06,0.85,0.68,0.08,0.82
smartgwt.csv,0.9,0.87,0.49,0.88,0.91,0.86,0.89,0.63,0.36,0.02,0.62,1.23,0.58,0.63,0.72,0.61
tweetsharp.csv,0.66,0.64,1.06,0.66,0.84,0.83,0.71,0.62,0.82,0.86,0.77,0.95,0.61,0.72,0.7,0.02
wxlua.csv,0.9,0.9,0.8,0.25,0.92,0.94,0.85,0.92,0.86,1.0,0.92,0.89,0.95,0.95,0.88,0.93
