,jmoney.csv,dxengine.csv,jsidplay2.csv,haggle.csv,mediate.csv,tmva.csv,matrex.csv,freedom-erp.csv,madman.csv,jchassis.csv,primefaces.csv,javaprofiler.csv
dxengine.csv,0.32,0.24,0.85,0.1,0.7,0.15,0.57,0.0,0.06,0.38,0.56,0.69
freedom-erp.csv,0.05,0.0,0.15,0.07,0.1,0.0,0.11,0.33,0.16,0.02,0.52,0.0
haggle.csv,0.22,0.24,0.25,0.49,0.23,0.05,0.51,0.01,0.0,0.44,0.04,0.08
javaprofiler.csv,0.83,0.9,0.6,0.88,0.67,0.58,1.0,1.0,0.47,0.86,1.0,0.28
jchassis.csv,0.0,0.0,0.05,0.0,0.0,0.0,0.04,0.0,0.0,0.09,0.0,0.0
jmoney.csv,0.2,0.41,0.15,0.24,0.7,0.3,0.04,0.16,0.35,0.18,0.04,0.08
jsidplay2.csv,0.32,0.33,0.2,0.46,0.63,0.18,0.21,0.96,0.53,0.18,0.07,0.58
madman.csv,0.05,0.27,0.6,0.24,0.2,0.27,0.32,0.03,0.27,0.58,0.85,0.36
matrex.csv,0.22,0.02,0.15,0.0,0.37,0.0,0.15,0.2,0.14,0.02,0.0,0.11
mediate.csv,0.34,0.27,0.2,0.41,0.4,0.42,0.43,0.2,0.2,0.86,0.33,0.28
primefaces.csv,0.78,0.96,0.5,1.0,0.87,1.0,0.52,0.2,1.0,0.73,0.3,0.81
tmva.csv,0.68,0.57,0.85,0.44,0.7,0.32,0.93,1.0,0.67,0.67,0.81,0.83
