,jmoney.csv,dxengine.csv,jsidplay2.csv,haggle.csv,mediate.csv,tmva.csv,matrex.csv,freedom-erp.csv,madman.csv,jchassis.csv,primefaces.csv,javaprofiler.csv
dxengine.csv,0.41,0.57,0.64,0.64,0.46,0.73,0.55,0.0,0.57,0.0,0.5,0.66
freedom-erp.csv,0.83,1.0,0.91,0.5,0.79,0.0,0.68,0.76,0.11,0.0,0.53,1.0
haggle.csv,0.31,0.52,0.69,0.7,0.63,0.83,0.44,0.0,0.0,0.03,0.9,0.87
javaprofiler.csv,0.35,0.35,0.73,0.67,0.57,0.76,0.49,0.58,0.23,0.03,0.59,0.8
jchassis.csv,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.25,0.0,0.0
jmoney.csv,0.69,0.5,0.92,0.76,0.6,0.77,0.83,0.74,0.29,0.0,0.89,0.86
jsidplay2.csv,0.54,0.23,0.93,0.47,0.6,0.86,0.75,0.59,0.07,0.0,0.0,0.52
madman.csv,0.33,0.42,0.6,0.77,0.54,0.75,0.53,0.5,0.38,0.03,0.53,0.78
matrex.csv,0.61,0.89,0.88,1.0,0.69,1.0,0.85,0.72,0.22,0.0,1.0,0.69
mediate.csv,0.33,0.46,0.8,0.74,0.71,0.71,0.53,0.48,0.29,0.03,0.64,0.84
primefaces.csv,0.37,0.36,0.8,0.64,0.57,0.73,0.63,0.58,0.14,0.04,0.8,0.63
tmva.csv,0.26,0.34,0.73,0.64,0.57,0.87,0.45,0.58,0.18,0.0,0.58,0.52
