,jmoney.csv,dxengine.csv,jsidplay2.csv,haggle.csv,mediate.csv,tmva.csv,matrex.csv,freedom-erp.csv,madman.csv,jchassis.csv,primefaces.csv,javaprofiler.csv
dxengine.csv,0.63,0.47,0.98,0.91,0.88,0.87,0.64,1.0,0.5,1.07,0.84,0.78
freedom-erp.csv,0.5,0.96,0.51,0.96,0.72,1.0,0.77,0.42,0.89,1.0,0.79,0.96
haggle.csv,0.83,0.57,0.85,0.62,0.73,0.91,0.78,1.0,1.0,0.67,0.78,0.74
javaprofiler.csv,0.84,0.9,0.75,0.88,0.73,0.68,1.0,1.0,0.49,0.86,1.0,0.54
jchassis.csv,1.0,1.0,1.0,1.0,0.9,1.0,0.96,1.0,1.0,0.09,1.0,1.0
jmoney.csv,0.22,0.47,0.45,0.62,0.73,0.7,0.8,0.7,0.37,1.02,0.8,0.75
jsidplay2.csv,0.4,0.88,0.24,0.9,0.68,0.64,0.4,0.96,0.92,1.02,1.0,0.91
madman.csv,0.95,0.69,0.92,0.61,0.84,0.76,0.71,0.98,0.27,0.76,0.92,0.53
matrex.csv,0.37,0.7,0.66,0.92,0.51,0.98,0.23,0.66,0.76,1.0,0.95,0.89
mediate.csv,0.73,0.62,0.76,0.53,0.48,0.75,0.66,0.89,0.54,0.86,0.69,0.41
primefaces.csv,0.78,0.96,0.6,1.0,0.88,1.0,0.53,0.83,1.0,0.73,0.36,0.87
tmva.csv,0.85,0.72,0.87,0.72,0.75,0.39,0.96,1.0,0.68,1.2,0.85,1.01
