,jmoney.csv,dxengine.csv,jsidplay2.csv,haggle.csv,mediate.csv,tmva.csv,matrex.csv,freedom-erp.csv,madman.csv,jchassis.csv,primefaces.csv,javaprofiler.csv
dxengine.csv,0.45,0.59,0.51,0.09,0.46,0.14,0.71,0.0,0.5,0.0,0.38,0.65
freedom-erp.csv,0.5,0.04,0.51,0.04,0.28,0.0,0.23,0.74,0.12,0.0,0.4,0.04
haggle.csv,0.2,0.48,0.19,0.62,0.31,0.09,0.41,0.0,0.0,0.5,0.22,0.27
javaprofiler.csv,0.9,0.93,0.54,0.99,0.69,0.65,1.0,1.0,0.88,1.0,0.98,0.53
jchassis.csv,0.0,0.0,0.0,0.0,0.1,0.0,0.04,0.0,0.0,1.0,0.0,0.0
jmoney.csv,0.9,0.78,0.58,0.43,0.79,0.37,0.21,0.32,0.88,0.0,0.2,0.25
jsidplay2.csv,0.75,0.19,0.86,0.23,0.74,0.39,0.66,0.99,0.25,0.0,0.0,0.31
madman.csv,0.05,0.37,0.31,0.45,0.18,0.28,0.37,0.02,1.0,0.5,0.65,0.61
matrex.csv,0.7,0.3,0.36,0.08,0.64,0.02,0.82,0.37,0.25,0.0,0.05,0.12
mediate.csv,0.35,0.44,0.27,0.66,0.74,0.37,0.49,0.13,0.5,1.0,0.4,0.69
primefaces.csv,0.95,1.0,0.66,1.0,0.87,1.0,0.92,0.2,1.0,1.0,0.8,0.67
tmva.csv,0.5,0.56,0.8,0.43,0.72,0.78,0.79,1.0,0.88,0.0,0.78,0.43
