,jmoney.csv,dxengine.csv,jsidplay2.csv,haggle.csv,mediate.csv,tmva.csv,matrex.csv,freedom-erp.csv,madman.csv,jchassis.csv,primefaces.csv,javaprofiler.csv
dxengine.csv,0.43,0.58,0.57,0.16,0.46,0.24,0.62,0.0,0.53,0.0,0.43,0.66
freedom-erp.csv,0.62,0.07,0.65,0.08,0.42,0.0,0.35,0.75,0.12,0.0,0.46,0.08
haggle.csv,0.24,0.5,0.29,0.66,0.41,0.16,0.43,0.0,0.0,0.06,0.36,0.41
javaprofiler.csv,0.5,0.51,0.62,0.8,0.63,0.7,0.66,0.73,0.37,0.07,0.74,0.64
jchassis.csv,0.0,0.0,0.0,0.0,0.19,0.0,0.08,0.0,0.0,0.4,0.0,0.0
jmoney.csv,0.78,0.61,0.71,0.55,0.68,0.5,0.33,0.45,0.44,0.0,0.33,0.39
jsidplay2.csv,0.63,0.2,0.89,0.31,0.67,0.54,0.7,0.74,0.11,0.0,0.0,0.39
madman.csv,0.09,0.39,0.4,0.56,0.27,0.41,0.44,0.04,0.55,0.05,0.58,0.69
matrex.csv,0.65,0.44,0.51,0.15,0.67,0.05,0.83,0.49,0.24,0.0,0.1,0.2
mediate.csv,0.34,0.45,0.41,0.7,0.72,0.49,0.51,0.21,0.36,0.07,0.49,0.76
primefaces.csv,0.54,0.52,0.72,0.78,0.69,0.85,0.75,0.29,0.25,0.08,0.8,0.65
tmva.csv,0.34,0.42,0.76,0.52,0.64,0.82,0.58,0.73,0.29,0.0,0.67,0.47
