,jmoney.csv,dxengine.csv,jsidplay2.csv,haggle.csv,mediate.csv,tmva.csv,matrex.csv,freedom-erp.csv,madman.csv,jchassis.csv,primefaces.csv,javaprofiler.csv
dxengine.csv,0.48,0.62,0.34,0.11,0.42,0.17,0.63,0.0,0.55,0.0,0.39,0.53
freedom-erp.csv,0.55,0.05,0.55,0.05,0.32,0.0,0.27,0.72,0.14,0.0,0.41,0.05
haggle.csv,0.23,0.52,0.22,0.59,0.35,0.11,0.42,0.0,0.0,0.51,0.26,0.31
javaprofiler.csv,0.48,0.35,0.5,0.4,0.57,0.59,0.0,0.0,0.78,0.45,0.0,0.56
jchassis.csv,0.0,0.0,0.0,0.0,0.12,0.0,0.05,0.0,0.0,0.98,0.0,0.0
jmoney.csv,0.88,0.73,0.62,0.47,0.6,0.41,0.25,0.37,0.82,0.0,0.24,0.29
jsidplay2.csv,0.73,0.22,0.85,0.26,0.62,0.44,0.68,0.17,0.28,0.0,0.0,0.33
madman.csv,0.06,0.41,0.32,0.49,0.21,0.32,0.41,0.02,0.93,0.48,0.39,0.62
matrex.csv,0.71,0.35,0.41,0.1,0.64,0.02,0.83,0.41,0.29,0.0,0.06,0.15
mediate.csv,0.39,0.48,0.31,0.64,0.71,0.4,0.5,0.16,0.54,0.45,0.44,0.7
primefaces.csv,0.57,0.17,0.62,0.0,0.41,0.0,0.78,0.24,0.0,0.65,0.78,0.45
tmva.csv,0.45,0.53,0.43,0.45,0.56,0.76,0.26,0.0,0.66,0.0,0.48,0.33
