,delphilhlplib.csv,fltk.csv,phet.csv,fceugc.csv,sumatrapdf.csv,ogre.csv,lportal.csv,jstock.csv,sandiaportals.csv,biodwh.csv,factor.csv,natpad.csv
biodwh.csv,95.5,466.5,727.0,149.0,130.0,148.0,99.0,299.0,92.5,285.5,97.5,97.5
delphilhlplib.csv,193.0,188.0,395.0,215.0,175.5,94.5,99.0,672.0,92.5,93.5,97.5,97.5
factor.csv,0.0,187.0,193.0,6.5,51.5,99.0,198.0,54.5,80.5,264.5,82.5,96.5
fceugc.csv,193.0,922.0,395.0,89.5,746.0,85.5,99.0,707.0,98.5,93.5,97.5,97.5
fltk.csv,189.0,188.0,494.0,141.0,203.5,93.5,198.0,913.5,98.5,189.0,97.5,97.5
jstock.csv,193.0,532.0,296.0,236.5,46.5,98.5,198.0,346.0,93.5,285.5,97.5,96.5
lportal.csv,91.5,91.5,138.5,6.5,43.5,84.5,2437.0,0.0,80.5,0.0,82.5,96.5
natpad.csv,193.0,1046.0,296.5,286.5,480.0,281.0,198.0,879.0,98.5,285.5,97.5,97.5
ogre.csv,188.0,859.0,296.0,286.5,565.0,99.0,198.0,1151.5,98.5,93.5,97.5,97.5
phet.csv,174.0,845.0,194.0,375.0,197.0,198.0,1261.5,1248.0,98.5,401.5,860.5,95.5
sandiaportals.csv,193.0,565.0,494.0,63.5,273.0,84.5,198.0,687.5,98.5,696.0,97.5,97.5
sumatrapdf.csv,193.0,1046.0,494.0,286.5,98.5,192.5,198.0,1041.0,98.5,285.5,97.5,97.5
