,olap-navigator.csv,ikvm.csv,sepgsql.csv,mcmc-jags.csv,pidgin.csv,gnupdate.csv,libtorrent.csv,sigil.csv,salasaga.csv,xtreemfs.csv,moast.csv
gnupdate.csv,0.81,0.6,0.12,0.5,0.85,1.0,0.87,0.93,0.25,0.84,0.76
ikvm.csv,0.67,1.0,0.06,0.08,0.78,0.19,0.88,0.5,0.27,0.81,0.86
libtorrent.csv,0.69,0.48,0.05,0.35,0.72,0.19,1.0,0.74,0.14,0.86,0.82
mcmc-jags.csv,0.69,0.36,0.1,1.0,0.82,0.35,0.88,0.77,0.24,0.87,0.83
moast.csv,0.87,0.43,0.08,0.5,0.85,0.54,1.0,0.74,0.21,0.98,1.0
olap-navigator.csv,1.0,0.49,0.08,0.67,0.85,0.28,0.91,0.76,0.18,0.88,0.91
pidgin.csv,0.77,0.39,0.06,0.29,0.99,0.2,0.88,0.71,0.17,0.87,0.92
salasaga.csv,0.65,0.41,0.05,0.26,0.65,0.17,0.82,0.51,1.0,0.81,0.24
sepgsql.csv,1.0,0.0,1.0,0.67,1.0,0.17,1.0,0.5,0.75,0.96,0.0
sigil.csv,0.9,0.28,0.08,0.67,0.72,0.41,0.92,1.0,0.21,0.92,0.94
xtreemfs.csv,0.76,0.47,0.22,0.67,1.0,0.0,0.85,0.85,0.5,1.0,0.97
