,olap-navigator.csv,ikvm.csv,sepgsql.csv,mcmc-jags.csv,pidgin.csv,gnupdate.csv,libtorrent.csv,sigil.csv,salasaga.csv,xtreemfs.csv,moast.csv
gnupdate.csv,0.68,0.62,0.46,0.74,0.58,0.05,0.81,0.46,0.53,0.86,0.93
ikvm.csv,0.76,0.05,0.64,1.01,0.6,0.82,0.68,0.82,0.76,0.79,0.78
libtorrent.csv,0.82,0.62,0.82,0.62,0.83,0.75,0.0,0.49,0.96,0.82,0.93
mcmc-jags.csv,0.71,0.83,0.62,0.07,0.62,0.71,0.6,0.41,0.51,0.63,0.96
moast.csv,0.79,0.87,0.59,0.41,0.57,0.37,0.88,0.45,0.57,0.4,0.01
olap-navigator.csv,0.0,0.64,0.5,0.35,0.48,0.65,0.55,0.41,0.67,0.69,0.79
pidgin.csv,0.56,0.93,0.74,0.67,0.03,0.69,0.6,0.5,0.83,0.74,0.62
salasaga.csv,1.01,0.91,0.77,1.0,0.99,0.99,1.01,0.99,0.04,1.0,1.36
sepgsql.csv,0.9,1.0,0.07,0.87,0.96,0.87,0.96,0.98,0.89,0.92,1.0
sigil.csv,0.41,0.91,0.69,0.48,0.7,0.49,0.64,0.0,0.66,0.4,0.52
xtreemfs.csv,0.6,0.65,0.82,0.73,0.85,1.0,0.75,0.46,0.96,0.0,0.28
