,gtad.csv,wgs-assembler.csv,nh3d.csv,jvcl.csv,kaffeine.csv,sarasvati.csv,blogentis.csv,m-m-m.csv,taokgame.csv,scen-connect.csv,htmlunit.csv,jaxen.csv,emulemorph.csv,jsr308-langtools.csv,continuum-ide.csv,motu.csv,anaxagora.csv,carabiner.csv,free-evolution.csv,jfreechart.csv
anaxagora.csv,0.07,0.04,0.07,0.21,0.09,0.19,0.1,0.1,0.17,0.93,0.03,0.3,0.1,0.05,0.26,0.93,0.0,0.67,0.07,0.17
blogentis.csv,0.08,0.36,0.03,0.47,0.27,0.07,0.0,0.2,0.17,0.41,0.23,0.15,0.23,0.05,0.44,0.28,0.24,0.04,0.14,0.34
carabiner.csv,0.35,0.99,1.0,0.94,0.82,0.34,0.39,0.5,0.61,0.3,0.43,0.35,0.54,0.4,0.49,0.78,0.4,0.0,0.44,0.58
continuum-ide.csv,0.11,0.3,0.72,0.41,0.55,0.11,0.07,0.2,0.13,0.03,0.21,0.09,0.21,0.05,0.05,0.22,0.06,0.0,0.15,0.26
emulemorph.csv,0.0,0.01,0.0,0.0,0.0,0.11,0.06,0.3,0.0,0.33,0.04,0.01,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0
free-evolution.csv,0.25,0.49,0.21,0.39,0.18,0.2,0.43,0.1,0.59,0.3,0.18,0.13,0.21,0.2,0.33,0.54,0.39,0.24,0.0,0.56
gtad.csv,0.0,0.03,0.03,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.02,0.0
htmlunit.csv,0.18,0.14,0.29,0.59,0.0,0.12,0.07,0.1,0.15,0.1,0.0,0.09,0.18,0.35,0.15,0.2,0.04,0.1,0.14,0.22
jaxen.csv,0.01,0.09,0.0,0.09,0.0,0.03,0.0,0.0,0.0,0.03,0.01,0.0,0.1,0.0,0.08,0.04,0.04,0.0,0.01,0.01
jsr308-langtools.csv,0.25,0.63,0.69,0.81,0.0,0.29,0.29,0.2,0.24,0.15,0.17,0.13,0.19,0.0,0.64,0.43,0.44,0.14,0.21,0.36
jvcl.csv,0.0,0.0,0.0,0.0,0.09,0.04,0.35,0.0,0.01,0.89,0.35,0.84,0.01,0.05,0.0,0.61,0.5,0.45,0.02,0.0
kaffeine.csv,0.99,0.97,0.99,1.0,0.0,0.97,0.62,1.0,0.91,0.85,0.98,0.96,0.88,0.95,0.95,0.89,0.87,0.94,0.85,0.97
m-m-m.csv,0.66,0.59,0.81,0.64,0.36,0.4,0.64,0.0,0.61,0.62,0.89,0.98,0.46,0.8,0.69,0.52,0.86,0.71,0.44,0.38
motu.csv,0.06,0.44,0.4,0.48,0.0,0.06,0.14,0.1,0.28,0.03,0.17,0.2,0.02,0.1,0.21,0.0,0.08,0.1,0.01,0.14
nh3d.csv,0.01,0.0,0.0,0.02,0.0,0.0,0.01,0.0,0.07,0.02,0.0,0.02,0.01,0.0,0.03,0.02,0.03,0.0,0.0,0.02
sarasvati.csv,0.31,0.11,0.13,0.48,0.82,0.0,0.0,0.0,0.07,0.3,0.46,0.01,0.33,0.55,0.36,0.43,0.58,0.02,0.46,0.02
taokgame.csv,0.18,0.0,0.0,0.11,0.0,0.13,0.23,0.0,0.0,0.59,0.01,0.06,0.05,0.05,0.03,0.33,0.3,0.1,0.1,0.03
wgs-assembler.csv,0.11,0.01,0.44,0.57,0.0,0.19,0.17,0.2,0.24,0.34,0.19,0.17,0.22,0.15,0.38,0.35,0.24,0.06,0.09,0.48
