,reactos-mirror.csv,critterding.csv,etics.csv,badtrinity-zero.csv,mcore3d.csv,xbplayer.csv,kvs.csv,ogrehg.csv,genecys.csv,monetdb.csv,alpine.csv,boost.csv,quarkplayer.csv,gusanos.csv,projecteqemu.csv,modplug.csv,kftpgrabber.csv,enzo.csv,fmri-dmt.csv,passwordsafe.csv
alpine.csv,0.7,1.0,0.29,0.46,0.33,1.0,0.13,0.41,1.0,0.34,0.21,1.0,0.22,1.0,0.53,0.12,0.29,0.12,0.77,0.39
badtrinity-zero.csv,0.12,0.0,0.21,0.38,0.32,0.0,0.76,0.54,0.67,0.8,0.99,0.8,0.15,0.0,0.07,0.58,0.45,0.0,0.21,0.68
boost.csv,0.2,0.41,0.36,0.3,0.51,0.27,0.46,0.33,0.33,0.24,0.2,0.33,0.47,0.21,0.6,0.54,0.5,0.2,0.48,0.26
critterding.csv,0.59,0.27,0.98,0.89,0.91,0.65,0.99,0.83,0.67,0.93,0.89,0.64,0.92,0.55,0.93,0.71,0.87,0.4,0.95,0.94
enzo.csv,0.81,0.76,0.4,0.93,0.63,0.82,0.88,0.64,1.0,0.87,0.83,0.93,0.63,0.55,0.78,0.96,0.73,0.24,0.85,0.92
etics.csv,0.13,0.27,0.17,0.09,0.33,0.3,0.04,0.1,0.33,0.21,0.16,0.14,0.16,0.14,0.22,0.04,0.35,0.04,0.29,0.05
fmri-dmt.csv,0.64,0.68,0.76,0.77,0.7,0.95,0.53,0.75,0.44,0.4,0.59,0.88,0.72,0.79,0.44,0.88,0.69,0.96,0.21,0.71
genecys.csv,0.66,0.73,0.88,0.59,0.84,0.58,0.54,0.84,0.56,0.78,0.76,0.76,0.69,1.0,0.4,0.83,0.95,0.88,0.84,0.39
gusanos.csv,0.18,0.59,0.6,0.34,0.6,0.54,0.29,0.53,0.67,0.89,0.32,0.73,0.44,0.34,0.33,0.58,0.56,0.0,0.55,0.42
kftpgrabber.csv,0.04,0.24,0.02,0.11,0.26,0.56,0.08,0.16,0.11,0.33,0.13,0.31,0.29,0.21,0.31,0.0,0.27,0.04,0.56,0.16
kvs.csv,0.26,0.2,0.26,0.2,0.05,0.34,0.2,0.28,0.11,0.31,0.24,0.32,0.1,0.31,0.24,0.21,0.06,0.16,0.85,0.3
mcore3d.csv,0.02,0.41,0.02,0.21,0.46,0.23,0.74,0.24,0.78,0.36,0.34,0.04,0.39,0.21,0.53,0.21,0.31,0.0,0.56,0.26
modplug.csv,0.78,0.78,0.95,0.68,0.91,0.79,0.74,0.72,0.56,0.8,0.84,0.71,0.97,0.76,0.93,0.33,0.84,0.24,0.84,0.79
monetdb.csv,0.38,0.37,0.02,0.17,0.32,0.14,0.07,0.06,0.0,0.27,0.15,0.32,0.34,0.03,0.36,0.0,0.34,0.04,0.11,0.26
ogrehg.csv,0.09,0.2,0.29,0.27,0.49,0.44,0.32,0.27,0.33,0.45,0.36,0.23,0.44,0.21,0.51,0.46,0.29,0.28,0.56,0.14
passwordsafe.csv,0.18,0.22,0.67,0.39,0.65,0.36,0.43,0.44,0.33,0.53,0.67,0.62,0.48,0.41,0.44,0.12,0.73,0.16,0.69,0.22
projecteqemu.csv,0.53,0.17,0.48,0.12,0.23,0.51,0.04,0.2,0.33,0.32,0.16,0.19,0.28,0.21,0.29,0.17,0.24,0.36,0.48,0.09
quarkplayer.csv,0.12,0.07,0.64,0.35,0.3,0.11,0.58,0.38,0.0,0.22,0.16,0.2,0.32,0.38,0.2,0.17,0.31,0.8,0.42,0.2
reactos-mirror.csv,0.26,0.44,0.93,0.44,0.65,0.4,0.55,0.67,0.56,0.46,0.53,0.34,0.68,0.62,0.49,0.42,0.48,0.48,0.63,0.33
xbplayer.csv,0.22,0.39,0.1,0.39,0.25,0.32,0.2,0.25,0.22,0.14,0.33,0.45,0.41,0.24,0.58,0.62,0.61,0.0,0.42,0.17
