,reactos-mirror.csv,critterding.csv,etics.csv,badtrinity-zero.csv,mcore3d.csv,xbplayer.csv,kvs.csv,ogrehg.csv,genecys.csv,monetdb.csv,alpine.csv,boost.csv,quarkplayer.csv,gusanos.csv,projecteqemu.csv,modplug.csv,kftpgrabber.csv,enzo.csv,fmri-dmt.csv,passwordsafe.csv
alpine.csv,0.75,1.0,0.54,0.69,0.63,1.0,0.76,0.55,1.0,0.56,0.4,1.0,0.85,1.0,0.6,0.52,0.33,0.86,0.79,0.53
badtrinity-zero.csv,0.71,1.0,0.58,0.48,0.68,0.98,0.86,0.57,0.67,0.8,0.99,0.8,0.92,1.0,0.7,0.65,0.58,1.0,0.54,0.68
boost.csv,0.65,0.65,0.43,0.57,0.61,0.38,0.8,0.54,0.43,0.57,0.78,0.45,0.6,0.51,0.63,0.68,0.55,0.6,0.59,0.54
critterding.csv,0.67,0.47,0.98,0.9,0.92,0.76,0.99,0.86,0.67,0.94,0.91,0.69,0.92,0.71,0.94,0.75,0.87,0.41,0.95,0.95
enzo.csv,0.84,0.81,0.51,0.93,0.71,0.83,0.89,0.7,1.03,0.91,0.85,0.94,0.72,0.6,0.8,0.97,0.74,0.29,0.85,0.93
etics.csv,0.62,0.52,0.35,0.7,0.61,0.48,0.85,0.56,0.52,0.51,0.68,0.68,0.48,0.5,0.4,0.62,0.41,0.77,0.88,0.72
fmri-dmt.csv,0.74,0.81,0.82,0.85,0.8,0.95,0.92,0.85,0.68,0.85,0.89,0.89,0.74,0.88,0.73,0.99,0.96,0.98,0.21,0.86
genecys.csv,0.69,0.73,0.96,0.68,0.86,0.65,0.77,0.85,0.59,0.79,0.83,0.79,0.78,1.0,0.5,0.86,0.95,0.93,0.86,0.7
gusanos.csv,0.74,0.64,0.64,0.57,0.65,0.56,0.9,0.57,0.7,0.89,0.59,0.77,0.57,0.38,0.49,0.67,0.58,0.96,0.64,0.48
kftpgrabber.csv,0.92,0.56,0.77,0.72,0.61,0.58,0.9,0.71,0.73,0.48,0.68,0.67,0.62,0.43,0.5,0.64,0.32,0.88,0.87,0.57
kvs.csv,0.74,0.79,0.53,0.72,0.9,0.86,0.36,0.77,0.99,0.75,0.79,0.67,1.01,0.82,0.68,0.79,0.87,0.41,0.87,0.83
mcore3d.csv,0.97,0.74,0.92,0.67,0.53,0.55,0.76,0.59,0.78,0.53,0.82,0.88,0.53,0.62,0.63,0.64,0.53,0.88,0.75,0.59
modplug.csv,0.81,0.79,0.95,0.74,0.92,0.8,0.74,0.72,0.56,0.8,0.84,0.76,0.97,0.78,0.93,0.36,0.84,0.41,0.9,0.8
monetdb.csv,0.7,0.69,0.92,0.7,0.59,0.66,0.95,0.85,0.71,0.51,0.44,0.77,0.8,0.63,0.53,0.56,0.48,0.93,0.84,0.59
ogrehg.csv,0.71,0.56,0.42,0.58,0.57,0.49,0.86,0.42,0.35,0.51,0.55,0.59,0.63,0.51,0.55,0.59,0.47,0.51,0.59,0.53
passwordsafe.csv,0.63,0.55,0.68,0.54,0.69,0.51,0.87,0.49,0.36,0.57,0.75,0.64,0.55,0.6,0.46,0.32,0.73,0.7,0.85,0.38
projecteqemu.csv,0.6,0.64,0.53,0.64,0.58,0.54,0.9,0.56,0.56,0.55,0.69,0.65,0.62,0.58,0.38,0.5,0.41,0.45,0.48,0.52
quarkplayer.csv,0.82,0.91,0.79,0.83,0.79,0.91,0.87,0.88,0.94,0.96,0.93,0.69,0.37,0.95,0.8,0.91,0.95,0.95,0.65,0.9
reactos-mirror.csv,0.47,0.53,0.93,0.6,0.71,0.5,0.71,0.72,0.61,0.51,0.63,0.55,0.77,0.7,0.53,0.5,0.5,0.63,0.71,0.48
xbplayer.csv,0.74,0.63,0.62,0.54,0.64,0.46,0.68,0.62,0.49,0.53,0.42,0.52,0.61,0.62,0.67,0.69,0.61,0.88,0.45,0.6
