,ns-3.csv,rsyslog.csv,httpcontentparser.csv,myfaces.csv,wow-qrsk.csv,echongl.csv,megameknet.csv,ondex.csv,hibernate.csv,pixel-commandos.csv,emite.csv,geogebra.csv
echongl.csv,0.4,0.47,0.35,0.16,0.48,0.86,0.29,0.1,0.37,0.24,0.37,0.28
emite.csv,0.25,0.0,0.2,0.33,0.37,0.37,0.13,0.27,0.22,0.09,0.67,0.19
geogebra.csv,0.63,0.68,0.29,0.44,0.31,0.81,0.54,0.29,0.43,0.18,0.25,0.52
hibernate.csv,0.53,0.74,0.21,0.24,0.48,0.76,0.49,0.28,0.47,0.23,0.41,0.45
httpcontentparser.csv,0.43,0.0,0.41,0.34,0.33,0.0,0.29,0.28,0.4,0.12,0.51,0.37
megameknet.csv,0.66,0.68,0.15,0.25,0.27,0.82,0.54,0.28,0.41,0.07,0.5,0.37
myfaces.csv,0.38,0.67,0.28,0.48,0.55,0.78,0.56,0.29,0.47,0.24,0.26,0.5
ns-3.csv,0.72,0.57,0.29,0.44,0.31,0.76,0.5,0.2,0.46,0.07,0.27,0.47
ondex.csv,0.27,0.07,0.29,0.28,0.58,0.49,0.35,0.39,0.35,0.4,0.51,0.41
pixel-commandos.csv,0.25,0.44,0.36,0.11,0.23,0.17,0.16,0.17,0.33,0.57,0.05,0.18
rsyslog.csv,0.57,0.79,0.26,0.2,0.46,0.84,0.44,0.25,0.45,0.2,0.43,0.42
wow-qrsk.csv,0.21,0.14,0.19,0.38,0.57,0.0,0.46,0.31,0.41,0.0,0.52,0.51
