,ns-3.csv,rsyslog.csv,httpcontentparser.csv,myfaces.csv,wow-qrsk.csv,echongl.csv,megameknet.csv,ondex.csv,hibernate.csv,pixel-commandos.csv,emite.csv,geogebra.csv
echongl.csv,0.75,0.67,0.53,0.88,0.49,0.28,0.78,0.94,0.67,0.32,0.79,0.73
emite.csv,0.86,1.0,0.81,0.57,0.69,0.78,0.91,0.77,0.84,0.77,0.42,0.86
geogebra.csv,0.67,1.0,0.55,0.44,0.66,0.98,0.48,0.64,0.6,0.41,0.84,0.43
hibernate.csv,0.69,0.46,0.73,0.77,0.42,0.79,0.45,0.74,0.55,0.3,0.72,0.52
httpcontentparser.csv,0.73,1.0,0.32,0.49,0.62,1.0,0.73,0.9,0.67,0.54,0.74,0.68
megameknet.csv,0.85,1.0,0.81,0.8,0.93,1.0,0.4,0.9,0.69,0.77,0.64,0.8
myfaces.csv,0.76,0.48,0.51,0.35,0.5,0.51,0.5,0.64,0.55,0.32,0.84,0.51
ns-3.csv,0.51,0.96,0.48,0.42,0.79,0.74,0.46,0.78,0.57,0.87,0.83,0.47
ondex.csv,0.84,0.96,0.48,0.61,0.39,0.67,0.76,0.54,0.71,0.5,0.61,0.63
pixel-commandos.csv,0.85,0.7,0.56,0.89,0.83,0.91,0.89,0.84,0.72,0.07,0.98,0.88
rsyslog.csv,0.68,0.32,0.59,0.83,0.43,0.69,0.52,0.7,0.68,0.35,0.83,0.68
wow-qrsk.csv,0.88,0.92,0.85,0.43,0.31,1.0,0.62,0.83,0.65,1.0,0.6,0.49
