,olap-navigator.csv,ikvm.csv,sepgsql.csv,mcmc-jags.csv,pidgin.csv,libtorrent.csv,nebuladevice.csv
ikvm.csv,0.42,0.89,0.41,0.48,0.47,0.48,0.44
libtorrent.csv,0.56,0.46,0.69,0.61,0.5,0.74,0.69
mcmc-jags.csv,0.49,0.53,0.46,0.86,0.64,0.64,0.5
nebuladevice.csv,0.47,0.17,0.0,0.61,0.0,0.44,0.68
olap-navigator.csv,0.86,0.44,0.8,0.57,0.63,0.5,0.7
pidgin.csv,0.65,0.71,0.59,0.58,0.74,0.63,0.37
sepgsql.csv,0.66,0.52,0.78,0.31,0.68,0.41,0.16
