,qpe.csv,sepgsql.csv,ldview.csv,monetdb.csv,xpontus.csv,netatalk.csv,fmri-dmt.csv,synergyspace.csv,quark.csv,illumination.csv,gss.csv,olex2.csv,ftm.csv,arm-webradio.csv,fulguro.csv
arm-webradio.csv,0.69,0.4,0.22,0.32,0.89,0.46,0.53,0.35,0.49,0.21,0.31,0.6,0.48,0.97,0.21
fmri-dmt.csv,0.04,0.0,0.06,0.02,0.0,0.0,0.86,0.15,0.0,0.15,0.0,0.02,0.09,0.54,0.0
ftm.csv,0.65,0.51,0.6,0.64,0.0,0.4,0.5,0.27,0.65,0.53,0.53,0.52,0.98,0.45,0.48
fulguro.csv,0.33,0.18,0.28,0.05,0.0,0.0,0.2,0.22,0.18,0.07,0.16,0.1,0.37,0.48,0.77
gss.csv,0.55,0.61,0.45,0.6,0.78,0.54,0.58,0.7,0.51,0.51,0.98,0.63,0.57,0.0,0.6
illumination.csv,0.21,0.49,0.49,0.5,0.9,0.51,0.54,0.57,0.49,0.95,0.58,0.14,0.29,0.31,0.0
ldview.csv,0.3,0.61,0.96,0.61,0.0,0.48,0.37,0.27,0.64,0.33,0.37,0.18,0.5,0.51,0.3
monetdb.csv,0.6,0.54,0.54,0.98,0.0,0.67,0.2,0.1,0.68,0.33,0.34,0.42,0.57,0.56,0.11
netatalk.csv,0.55,0.55,0.17,0.3,0.0,0.99,0.67,0.22,0.48,0.21,0.42,0.27,0.35,0.27,0.21
olex2.csv,0.57,0.68,0.33,0.63,0.0,0.53,0.66,0.39,0.45,0.33,0.24,0.98,0.52,0.44,0.47
qpe.csv,0.93,0.09,0.27,0.16,0.0,0.17,0.2,0.27,0.51,0.21,0.42,0.2,0.37,0.04,0.21
quark.csv,0.06,0.0,0.17,0.25,0.0,0.0,0.2,0.0,1.0,0.07,0.2,0.12,0.3,0.11,0.0
sepgsql.csv,0.0,0.88,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.09,0.06,0.0,0.0,0.0
synergyspace.csv,0.53,0.35,0.22,0.35,0.0,0.39,0.63,0.97,0.5,0.14,0.24,0.47,0.6,0.45,0.21
