,qpe.csv,sepgsql.csv,ldview.csv,monetdb.csv,xpontus.csv,netatalk.csv,fmri-dmt.csv,synergyspace.csv,quark.csv,illumination.csv,gss.csv,olex2.csv,ftm.csv,arm-webradio.csv,fulguro.csv
arm-webradio.csv,0.32,0.36,0.24,0.16,0.38,0.32,0.27,0.32,0.35,0.32,0.3,0.54,0.45,0.02,0.35
fmri-dmt.csv,0.0,0.0,0.08,0.05,0.25,0.0,0.0,0.03,0.0,0.11,0.0,0.06,0.04,0.04,0.01
ftm.csv,0.48,0.66,0.24,0.41,0.33,0.34,0.5,0.18,0.48,0.46,0.45,0.24,0.0,0.46,0.68
fulguro.csv,0.05,0.24,0.19,0.0,0.1,0.05,0.08,0.15,0.1,0.29,0.05,0.08,0.37,0.05,0.0
gss.csv,0.77,0.73,0.43,0.61,0.58,0.76,0.74,0.49,0.58,0.83,0.0,0.65,0.56,1.0,0.52
illumination.csv,0.19,0.48,0.49,0.32,0.36,0.42,0.24,0.46,0.37,0.02,0.35,0.15,0.15,0.85,0.23
ldview.csv,0.14,0.45,0.0,0.35,0.13,0.16,0.26,0.15,0.29,0.31,0.3,0.13,0.39,0.03,0.43
monetdb.csv,0.35,0.78,0.54,0.0,0.28,0.45,0.37,0.37,0.67,0.35,0.35,0.34,0.55,0.75,0.11
netatalk.csv,0.21,0.32,0.05,0.22,0.16,0.03,0.31,0.17,0.44,0.15,0.0,0.08,0.18,0.09,0.23
olex2.csv,0.39,0.54,0.22,0.24,0.37,0.29,0.39,0.29,0.85,0.2,0.05,0.01,0.3,0.27,0.39
qpe.csv,0.0,0.16,0.38,0.09,0.18,0.08,0.35,0.17,0.58,0.17,0.15,0.1,0.46,0.02,0.3
quark.csv,0.01,0.0,0.05,0.18,0.13,0.0,0.03,0.04,0.0,0.02,0.0,0.03,0.13,0.0,0.04
sepgsql.csv,0.0,0.0,0.03,0.01,0.01,0.0,0.0,0.13,0.0,0.02,0.05,0.04,0.03,0.0,0.09
synergyspace.csv,0.23,0.53,0.32,0.13,0.19,0.87,0.48,0.0,0.62,0.2,0.1,0.17,0.72,0.08,0.22
