,foursquared.csv,repositorium.csv,xbg.csv,simplewebservices.csv
foursquared.csv,0.83,0.0,0.12,0.16
repositorium.csv,0.08,0.91,0.62,0.73
simplewebservices.csv,0.79,0.82,0.75,0.7
xbg.csv,0.0,0.0,0.62,0.13
