,phet.csv,qtractor.csv,flexpay.csv,fceugc.csv,sumatrapdf.csv,modellus.csv,open-data-kit.csv,jstock.csv,synergyspace.csv,keyczar.csv
fceugc.csv,0.64,0.54,0.47,0.52,0.55,0.33,0.72,0.62,0.08,0.5
flexpay.csv,0.29,0.5,0.48,0.14,0.06,0.5,0.38,0.85,0.15,0.38
jstock.csv,0.12,0.5,0.38,0.24,0.16,0.21,0.3,0.85,0.15,0.38
keyczar.csv,0.07,0.25,0.1,0.14,0.16,0.1,0.16,0.15,0.35,0.69
modellus.csv,0.28,0.54,0.57,0.38,0.48,0.77,0.75,0.31,0.38,0.19
open-data-kit.csv,0.36,0.75,0.73,0.57,0.42,0.86,0.7,0.62,0.27,0.06
phet.csv,0.61,0.54,0.08,0.29,0.32,0.26,0.54,0.69,0.35,1.0
qtractor.csv,0.26,0.79,0.52,0.52,0.55,0.77,0.61,0.46,0.38,0.04
sumatrapdf.csv,0.68,0.96,0.9,0.86,0.84,0.86,0.86,1.0,0.81,0.77
synergyspace.csv,0.32,0.29,0.47,0.14,0.58,0.42,0.33,0.46,0.69,0.31
