,phet.csv,qtractor.csv,flexpay.csv,fceugc.csv,sumatrapdf.csv,modellus.csv,open-data-kit.csv,jstock.csv,synergyspace.csv,keyczar.csv
fceugc.csv,0.62,0.57,0.48,0.55,0.57,0.36,0.58,0.58,0.1,0.53
flexpay.csv,0.31,0.48,0.52,0.17,0.07,0.54,0.42,0.76,0.18,0.38
jstock.csv,0.14,0.53,0.42,0.28,0.19,0.25,0.35,0.84,0.18,0.42
keyczar.csv,0.09,0.27,0.12,0.17,0.18,0.12,0.19,0.18,0.39,0.69
modellus.csv,0.31,0.59,0.57,0.43,0.53,0.78,0.73,0.36,0.42,0.22
open-data-kit.csv,0.38,0.71,0.59,0.55,0.47,0.71,0.7,0.66,0.29,0.07
phet.csv,0.63,0.46,0.1,0.31,0.27,0.28,0.37,0.42,0.37,0.27
qtractor.csv,0.29,0.78,0.54,0.55,0.59,0.74,0.64,0.5,0.42,0.05
sumatrapdf.csv,0.46,0.66,0.47,0.42,0.84,0.75,0.71,0.78,0.54,0.68
synergyspace.csv,0.35,0.33,0.48,0.17,0.61,0.47,0.37,0.48,0.7,0.35
