,phet.csv,qtractor.csv,flexpay.csv,fceugc.csv,sumatrapdf.csv,modellus.csv,open-data-kit.csv,jstock.csv,synergyspace.csv,keyczar.csv
fceugc.csv,0.43,0.61,0.25,0.51,0.52,0.37,0.68,0.36,0.07,0.62
flexpay.csv,0.2,0.5,0.36,0.17,0.11,0.57,0.5,0.5,0.14,0.48
jstock.csv,0.13,0.57,0.26,0.31,0.27,0.33,0.45,0.67,0.19,0.52
keyczar.csv,0.11,0.28,0.12,0.17,0.14,0.14,0.25,0.14,0.27,0.77
modellus.csv,0.19,0.65,0.31,0.47,0.61,0.78,0.77,0.38,0.31,0.3
open-data-kit.csv,0.25,0.71,0.3,0.44,0.52,0.7,0.75,0.59,0.16,0.12
phet.csv,0.5,0.5,0.07,0.24,0.23,0.28,0.53,0.31,0.2,0.87
qtractor.csv,0.19,0.79,0.3,0.5,0.58,0.72,0.7,0.41,0.3,0.08
sumatrapdf.csv,0.32,0.75,0.3,0.47,0.78,0.73,0.78,0.51,0.34,0.8
synergyspace.csv,0.24,0.38,0.24,0.21,0.59,0.54,0.45,0.32,0.52,0.45
