,phet.csv,qtractor.csv,flexpay.csv,fceugc.csv,sumatrapdf.csv,modellus.csv,open-data-kit.csv,jstock.csv,synergyspace.csv,keyczar.csv
fceugc.csv,4.0,3.0,0.0,1.0,1.0,4.0,4.0,5.0,11.0,2.0
flexpay.csv,7.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,18.0,2.0
jstock.csv,2.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,1.0
keyczar.csv,8.0,3.0,15.0,3.0,10.0,8.0,0.0,8.0,5.0,0.0
modellus.csv,5.0,0.0,2.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0
open-data-kit.csv,4.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,27.0,0.0
phet.csv,3.0,3.0,3.0,0.0,3.0,2.0,5.0,4.0,1.0,3.0
qtractor.csv,2.0,0.0,2.0,2.0,0.0,0.0,0.0,3.0,1.0,0.0
sumatrapdf.csv,4.0,1.0,1.0,0.0,0.0,0.0,4.0,3.0,1.0,1.0
synergyspace.csv,2.0,3.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0
