,net-snmp.csv,powerfolder-.csv,hatari.csv,opde.csv,ltp.csv,chipster.csv,cataclysmos.csv,fontforge.csv,qlc.csv,tcl.csv,oppna-program-hsatools.csv,mia.csv,jaolt.csv,glas.csv,hannosset.csv,jcl.csv,gmerlin.csv
chipster.csv,6.0,6.0,0.0,1.0,3.0,0.0,52.0,3.0,9.0,0.0,0.0,7.0,0.0,0.0,9.0,12.0,4.0
fontforge.csv,1.0,0.0,1.0,1.0,2.0,15.0,10.0,0.0,5.0,0.0,4.0,4.0,0.0,3.0,13.0,7.0,6.0
glas.csv,4.0,2.0,0.0,2.0,2.0,0.0,52.0,8.0,22.0,4.0,0.0,0.0,0.0,0.0,4.0,17.0,4.0
gmerlin.csv,2.0,3.0,1.0,4.0,0.0,0.0,9.0,1.0,21.0,4.0,0.0,30.0,2.0,0.0,4.0,2.0,0.0
hannosset.csv,0.0,104.0,0.0,69.0,0.0,161.0,52.0,0.0,132.0,78.0,129.0,195.0,101.0,91.0,0.0,115.0,0.0
hatari.csv,2.0,11.0,0.0,2.0,0.0,2.0,16.0,5.0,5.0,0.0,1.0,17.0,0.0,3.0,5.0,3.0,0.0
jaolt.csv,0.0,1.0,2.0,0.0,0.0,4.0,25.0,1.0,0.0,0.0,0.0,21.0,0.0,1.0,7.0,5.0,2.0
jcl.csv,91.0,1.0,0.0,1.0,0.0,0.0,52.0,54.0,132.0,0.0,0.0,3.0,0.0,91.0,74.0,0.0,97.0
ltp.csv,0.0,0.0,1.0,0.0,0.0,1.0,52.0,0.0,132.0,78.0,0.0,7.0,0.0,2.0,2.0,115.0,4.0
mia.csv,1.0,0.0,0.0,1.0,2.0,4.0,52.0,5.0,12.0,0.0,2.0,0.0,1.0,91.0,5.0,6.0,8.0
net-snmp.csv,0.0,0.0,0.0,3.0,0.0,0.0,5.0,6.0,6.0,0.0,0.0,4.0,0.0,1.0,74.0,2.0,0.0
opde.csv,1.0,1.0,1.0,0.0,1.0,3.0,52.0,0.0,16.0,0.0,0.0,14.0,0.0,2.0,20.0,2.0,9.0
oppna-program-hsatools.csv,0.0,0.0,1.0,0.0,0.0,3.0,52.0,14.0,24.0,0.0,0.0,8.0,0.0,11.0,16.0,11.0,5.0
powerfolder-.csv,0.0,0.0,64.0,3.0,0.0,10.0,52.0,54.0,1.0,0.0,1.0,11.0,0.0,2.0,74.0,0.0,1.0
qlc.csv,91.0,104.0,64.0,3.0,471.0,161.0,52.0,54.0,0.0,78.0,1.0,4.0,0.0,2.0,74.0,0.0,13.0
tcl.csv,1.0,1.0,1.0,0.0,0.0,4.0,52.0,1.0,8.0,0.0,1.0,22.0,1.0,7.0,3.0,1.0,3.0
