,net-snmp.csv,powerfolder-.csv,hatari.csv,opde.csv,ltp.csv,chipster.csv,cataclysmos.csv,fontforge.csv,qlc.csv,tcl.csv,oppna-program-hsatools.csv,mia.csv,jaolt.csv,glas.csv,hannosset.csv,jcl.csv,gmerlin.csv
chipster.csv,0.6,0.58,0.76,0.82,0.92,0.05,1.06,0.75,0.89,0.8,0.65,0.63,0.54,0.89,0.58,0.58,0.73
fontforge.csv,0.87,0.74,0.91,0.81,0.77,0.84,0.19,0.04,0.75,0.68,0.82,0.73,0.8,0.83,0.95,0.86,0.81
glas.csv,0.66,0.65,0.86,0.68,0.63,0.62,1.02,0.8,0.76,0.76,0.53,0.54,0.61,0.03,0.64,0.67,0.73
gmerlin.csv,0.86,0.58,0.8,0.75,0.94,0.7,0.17,0.54,0.77,0.74,0.79,0.62,0.64,0.89,0.9,0.79,0.03
hannosset.csv,0.95,1.0,0.93,1.0,0.95,1.0,1.0,0.96,1.0,1.0,1.0,1.0,1.0,1.0,0.17,1.0,0.97
hatari.csv,0.68,0.64,0.03,0.91,0.66,0.52,0.31,0.83,0.57,0.72,0.46,0.6,0.74,0.77,0.48,0.73,0.65
jaolt.csv,0.8,0.7,0.67,0.68,0.78,0.71,0.48,0.97,0.44,0.82,0.52,0.74,0.04,0.54,0.77,0.64,0.69
jcl.csv,1.0,0.87,0.93,0.96,1.0,0.97,1.0,1.0,1.0,0.92,0.98,0.89,0.99,1.0,1.0,0.07,1.0
ltp.csv,0.93,0.77,0.76,0.84,0.03,0.96,1.0,0.92,1.0,1.0,0.96,0.92,0.87,0.95,0.85,1.0,0.95
mia.csv,0.83,0.78,0.97,0.81,0.61,0.85,1.01,0.62,0.91,0.83,1.03,0.17,0.85,1.0,0.68,0.8,0.71
net-snmp.csv,0.02,0.54,0.84,0.93,0.87,0.8,0.1,0.68,0.63,0.75,0.76,0.52,0.68,0.79,1.05,0.53,0.63
opde.csv,0.66,0.66,0.72,0.0,0.93,0.75,1.11,0.54,0.74,0.68,0.75,0.59,0.7,0.8,0.8,0.78,0.65
oppna-program-hsatools.csv,0.79,0.67,0.72,1.0,0.89,0.62,1.0,1.0,0.95,1.0,0.0,0.98,0.93,0.82,0.68,0.93,0.8
powerfolder-.csv,0.86,0.06,1.0,0.98,0.95,0.84,1.0,1.0,0.73,0.7,0.85,0.95,0.75,0.9,1.01,0.51,0.97
qlc.csv,1.0,1.0,1.0,0.96,1.0,1.0,1.0,1.0,0.17,1.0,0.93,0.95,0.95,0.9,1.0,0.86,0.96
tcl.csv,0.79,0.84,0.86,0.81,0.86,0.8,1.02,0.49,0.74,0.04,0.84,0.85,0.79,0.67,0.57,0.55,0.79
