,net-snmp.csv,powerfolder-.csv,hatari.csv,opde.csv,ltp.csv,chipster.csv,cataclysmos.csv,fontforge.csv,qlc.csv,tcl.csv,oppna-program-hsatools.csv,mia.csv,jaolt.csv,glas.csv,hannosset.csv,jcl.csv,gmerlin.csv
chipster.csv,0.64,0.41,0.9,0.92,0.31,0.56,0.63,0.45,0.8,0.4,0.57,0.68,0.42,0.75,0.78,0.44,0.49
fontforge.csv,0.59,0.88,0.96,0.9,0.67,0.79,0.91,0.52,0.97,0.7,0.94,0.74,0.83,0.94,0.66,0.44,0.79
glas.csv,0.58,0.44,0.77,0.63,0.42,0.41,0.7,0.28,0.57,0.56,0.52,0.48,0.38,0.61,0.48,0.38,0.47
gmerlin.csv,0.9,0.64,0.69,0.81,0.98,0.65,0.7,0.41,0.68,0.59,0.65,0.69,0.45,0.68,0.56,0.5,0.65
hannosset.csv,0.67,0.0,0.5,0.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.5
hatari.csv,0.45,0.41,0.57,0.41,0.5,0.44,0.59,0.85,0.52,0.34,0.48,0.58,0.6,0.7,0.64,0.48,0.75
jaolt.csv,0.4,0.33,0.54,0.37,0.34,0.38,0.46,0.31,0.43,0.37,0.44,0.4,0.41,0.49,0.33,0.4,0.43
jcl.csv,0.0,0.8,0.8,0.67,0.67,0.67,0.5,0.0,0.0,0.8,0.5,0.83,0.0,0.0,0.5,0.92,0.0
ltp.csv,0.88,0.66,0.9,0.75,0.45,0.86,0.75,0.75,0.88,0.0,0.75,0.93,0.94,0.75,0.91,0.75,0.92
mia.csv,0.64,0.92,0.0,0.92,0.48,0.96,0.89,0.35,0.96,0.96,0.64,0.93,0.95,0.0,0.91,0.69,0.67
net-snmp.csv,0.57,0.74,0.89,0.86,0.84,0.8,0.83,0.33,0.57,0.56,0.65,0.94,0.58,0.93,0.57,0.48,0.64
opde.csv,0.62,0.45,0.75,0.72,0.36,0.47,0.64,0.39,0.62,0.47,0.45,0.73,0.4,0.94,0.42,0.38,0.69
oppna-program-hsatools.csv,0.35,0.35,0.35,0.37,0.33,0.38,0.36,0.28,0.41,0.36,0.42,0.41,0.35,0.52,0.66,0.36,0.39
powerfolder-.csv,0.91,0.66,0.0,0.89,0.97,0.89,0.0,0.0,0.94,0.56,0.96,0.92,0.84,0.89,0.9,0.4,0.5
qlc.csv,0.0,0.8,0.0,0.8,0.0,0.83,0.0,0.0,0.93,0.0,0.92,0.9,0.8,0.91,0.0,0.5,0.93
tcl.csv,0.71,0.55,0.83,0.64,0.73,0.76,0.82,0.48,0.96,0.54,0.95,0.81,0.95,0.67,0.68,0.44,0.94
