,sqlpower-library.csv,jlinalg.csv,array4j.csv,optalgtoolkit.csv,capcode.csv,freenet.csv,intact.csv,pustefix.csv,nassp.csv,fm-classic.csv,haphazard.csv,anaxagora.csv,ipfire-wall.csv,tart.csv,super-tux.csv,soar.csv,hannosset.csv,bzbyte.csv,ondex.csv,web-cat.csv
anaxagora.csv,0.73,0.6,0.65,0.75,0.83,0.66,0.88,0.88,0.55,0.87,0.8,0.4,0.69,0.76,0.55,0.93,0.74,0.71,0.85,0.74
array4j.csv,0.93,0.94,0.53,0.9,0.8,0.66,0.79,0.94,0.78,0.89,0.66,0.7,1.01,0.81,0.99,0.87,0.51,0.7,0.82,0.74
bzbyte.csv,0.73,1.0,1.0,1.0,0.66,0.87,1.0,1.0,1.0,0.99,0.85,0.81,0.99,0.85,1.0,0.97,1.0,0.35,1.0,0.82
capcode.csv,0.82,0.79,0.86,0.82,0.32,0.67,0.82,0.56,0.87,0.63,0.74,0.79,1.04,0.98,1.06,0.69,0.83,0.53,0.77,0.74
fm-classic.csv,0.77,0.68,0.88,0.85,0.81,0.83,1.0,1.0,0.92,0.09,0.86,0.81,0.57,0.8,0.92,0.84,1.0,0.72,0.74,0.96
freenet.csv,0.59,0.4,0.72,0.87,0.78,0.51,0.72,0.73,0.99,1.0,0.87,0.71,0.8,1.09,0.87,0.79,0.55,0.65,0.96,0.9
hannosset.csv,0.71,0.75,0.58,0.88,0.94,0.84,0.86,1.0,0.76,1.0,0.8,0.77,0.94,1.02,0.88,0.8,0.29,0.81,0.82,0.65
haphazard.csv,0.75,0.71,1.0,0.9,0.71,0.7,0.71,0.81,0.76,1.03,0.49,0.79,0.85,0.82,0.87,0.8,0.88,0.74,0.7,0.7
intact.csv,0.56,0.68,0.68,0.75,0.55,0.51,0.56,0.75,0.67,0.76,0.74,0.58,0.68,0.67,0.73,0.93,0.69,0.79,0.8,0.79
ipfire-wall.csv,0.55,0.35,1.0,0.97,0.9,0.73,0.84,0.88,0.63,0.72,0.71,0.74,0.35,0.65,0.67,0.94,1.0,0.69,0.88,0.72
jlinalg.csv,0.78,0.27,0.8,0.87,0.95,0.78,0.7,0.81,0.94,0.69,0.93,0.65,0.66,0.59,0.72,0.82,1.01,0.65,0.7,0.74
nassp.csv,0.5,0.74,0.77,0.9,1.01,0.69,0.84,0.83,0.33,0.68,0.86,0.83,0.63,0.84,0.75,0.71,0.86,0.73,0.85,0.63
ondex.csv,0.83,0.69,0.78,0.95,0.87,0.54,0.66,0.56,0.69,0.77,0.5,0.74,0.62,0.52,0.65,0.95,0.86,0.87,0.56,0.75
optalgtoolkit.csv,0.7,1.03,0.86,0.44,0.73,0.75,0.73,0.86,0.78,0.91,0.94,0.66,0.83,0.6,0.56,0.96,0.77,0.74,0.79,0.85
pustefix.csv,0.8,0.59,0.88,0.87,0.76,0.79,0.68,0.54,0.74,0.93,0.73,0.69,0.71,0.64,0.9,0.93,1.02,0.78,0.83,0.74
soar.csv,1.0,0.61,0.93,0.97,0.75,0.9,0.95,1.0,1.0,0.97,0.83,0.83,1.0,1.0,1.0,0.53,1.0,0.68,0.78,0.95
sqlpower-library.csv,0.48,0.84,0.86,0.64,0.72,0.87,0.7,0.68,1.0,0.56,0.96,0.58,1.0,1.0,0.8,0.96,0.97,0.67,0.99,0.72
super-tux.csv,0.66,0.86,0.83,0.5,0.67,0.87,0.57,0.94,0.6,1.02,0.71,0.7,0.99,0.76,0.09,0.94,0.9,0.8,0.7,0.63
tart.csv,0.85,0.77,0.96,0.71,0.77,0.62,0.62,0.57,0.55,0.5,0.53,0.56,0.87,0.22,0.67,0.93,0.96,0.87,0.57,0.84
web-cat.csv,0.63,0.99,0.86,0.67,0.84,0.83,0.65,0.67,0.69,0.77,0.83,0.65,0.79,0.69,0.32,0.96,0.83,1.04,0.87,0.37
