,sauerbraten.csv,oppna-program-hsatools.csv,mpgravity.csv,gretl.csv,ogre.csv,yarp.csv,openmsx.csv,doomlegacy.csv,gmerlin.csv,illumination.csv,open-ms.csv,elateportal.csv,sandiaportals.csv,zemljanka.csv,nativeclient.csv,natpad.csv
doomlegacy.csv,98.5,98.5,87.5,98.5,193.5,290.5,192.0,99.0,280.5,385.5,99.0,91.5,93.5,90.5,99.0,97.5
elateportal.csv,98.5,98.5,97.5,99.0,99.0,290.5,196.0,99.0,195.5,384.0,99.0,89.5,98.5,99.0,99.0,95.5
gmerlin.csv,98.5,98.5,0.0,0.0,0.0,290.5,196.0,0.0,92.5,385.5,0.0,383.5,98.5,0.0,97.5,196.5
gretl.csv,98.5,98.5,97.5,98.5,197.5,74.5,97.5,99.0,566.5,93.5,99.0,289.0,98.5,97.5,99.0,196.5
illumination.csv,71.5,98.5,0.0,0.0,0.0,559.0,213.0,0.0,68.5,289.0,0.0,383.5,98.5,0.0,97.5,196.5
mpgravity.csv,98.5,98.5,87.5,98.5,198.0,290.5,288.5,97.5,195.0,483.0,99.0,284.5,98.5,79.5,99.0,97.5
nativeclient.csv,98.5,98.5,97.5,98.5,98.5,168.0,95.5,97.5,195.0,289.0,99.0,91.5,98.5,97.5,99.0,97.5
natpad.csv,98.5,98.5,136.0,99.0,197.5,290.5,196.0,99.0,946.5,384.0,99.0,91.5,96.5,99.0,198.0,97.5
ogre.csv,132.0,98.5,97.5,97.5,99.0,62.5,97.5,99.0,294.0,386.5,99.0,383.5,98.5,97.5,99.0,97.5
open-ms.csv,93.5,98.5,97.5,82.5,197.5,133.0,490.0,99.0,294.0,93.5,99.0,383.5,93.5,83.5,189.0,97.5
openmsx.csv,89.5,98.5,177.0,86.5,99.0,290.5,464.5,99.0,195.5,483.0,198.0,87.5,98.5,21.5,99.0,95.5
oppna-program-hsatools.csv,98.5,98.5,97.5,98.5,198.0,226.5,194.0,99.0,294.0,191.0,99.0,285.0,98.5,99.0,99.0,97.5
sandiaportals.csv,98.5,98.5,157.0,98.5,87.5,290.5,97.5,95.5,563.0,385.5,99.0,21.5,98.5,99.0,198.0,97.5
sauerbraten.csv,98.5,98.5,97.5,99.0,198.0,405.5,196.0,99.0,294.0,483.0,99.0,186.0,98.5,99.0,99.0,196.5
yarp.csv,202.0,98.5,0.0,75.5,94.5,89.5,317.0,96.5,39.5,193.5,1277.0,14.5,0.0,8.5,99.0,0.0
zemljanka.csv,98.5,98.5,268.5,99.0,94.5,559.0,196.0,99.0,443.5,483.0,99.0,383.5,98.5,99.0,99.0,196.5
