,net-snmp.csv,powerfolder-.csv,hatari.csv,opde.csv,ltp.csv,chipster.csv,cataclysmos.csv,fontforge.csv,qlc.csv,tcl.csv,jcl.csv,gmerlin.csv,wxstudio.csv
chipster.csv,0.2,0.39,0.31,0.6,0.61,0.0,0.62,0.29,0.37,0.85,0.68,0.14,0.29
fontforge.csv,0.51,0.35,0.53,0.36,0.52,0.51,0.25,0.0,0.23,0.25,0.64,0.26,0.47
gmerlin.csv,0.25,0.27,0.06,0.11,0.23,0.18,0.06,0.32,0.12,0.32,0.58,0.0,0.1
hatari.csv,0.37,0.42,0.0,0.89,0.45,0.34,0.6,0.87,0.58,0.75,0.71,0.21,0.41
jcl.csv,0.02,0.04,0.0,0.13,0.08,0.02,0.08,0.1,0.12,0.6,0.0,0.02,0.04
ltp.csv,0.2,0.47,0.42,0.2,0.03,0.35,0.5,0.32,0.23,0.12,0.25,0.32,0.27
net-snmp.csv,0.0,0.61,0.28,0.27,0.51,0.43,0.35,0.71,0.48,0.3,0.74,0.52,0.45
opde.csv,0.94,0.65,0.53,0.02,0.81,0.67,0.6,0.65,0.56,0.55,0.97,0.36,0.69
powerfolder-.csv,0.02,0.01,0.22,0.07,0.19,0.22,0.04,0.29,0.07,0.25,0.53,0.05,0.24
qlc.csv,0.0,0.23,0.0,0.09,0.0,0.23,0.02,0.0,0.0,0.15,0.06,0.03,0.1
tcl.csv,0.29,0.24,0.17,0.2,0.34,0.21,0.06,0.48,0.1,0.0,0.08,0.02,0.06
wxstudio.csv,0.45,0.2,0.25,0.13,0.29,0.48,0.21,0.42,0.28,0.48,0.25,0.36,0.0
