,net-snmp.csv,powerfolder-.csv,hatari.csv,opde.csv,ltp.csv,chipster.csv,cataclysmos.csv,fontforge.csv,qlc.csv,tcl.csv,jcl.csv,gmerlin.csv,wxstudio.csv
chipster.csv,0.38,0.5,0.33,0.42,0.55,0.98,0.0,0.22,0.15,0.6,0.2,0.22,0.24
fontforge.csv,0.28,0.27,0.45,0.26,0.5,0.39,0.13,0.98,0.27,0.31,0.22,0.22,0.26
gmerlin.csv,0.17,0.43,0.23,0.38,0.16,0.37,0.4,0.55,0.17,0.42,0.18,1.0,0.17
hatari.csv,0.5,0.54,0.98,0.45,0.77,0.57,0.06,0.56,0.25,0.58,0.17,0.44,0.35
jcl.csv,0.17,0.49,0.19,0.18,0.07,0.19,0.0,0.0,0.12,0.44,0.96,0.11,0.0
ltp.csv,0.3,0.33,0.46,0.3,0.98,0.45,0.0,0.3,0.04,0.46,0.14,0.23,0.31
net-snmp.csv,0.99,0.48,0.41,0.39,0.65,0.49,0.1,0.58,0.22,0.27,0.22,0.5,0.47
opde.csv,0.61,0.52,0.61,0.94,0.74,0.48,0.06,0.6,0.24,0.56,0.22,0.44,0.54
powerfolder-.csv,0.25,0.97,0.15,0.19,0.1,0.26,0.5,0.57,0.42,0.42,0.23,0.25,0.31
qlc.csv,0.14,0.34,0.0,0.19,0.0,0.24,0.0,0.0,0.94,0.16,0.26,0.11,0.29
tcl.csv,0.25,0.22,0.21,0.16,0.46,0.26,0.0,0.5,0.06,0.97,0.0,0.11,0.22
wxstudio.csv,0.55,0.61,0.48,0.37,0.37,0.35,0.15,0.36,0.08,0.47,0.1,0.49,0.93
