,net-snmp.csv,powerfolder-.csv,hatari.csv,opde.csv,ltp.csv,chipster.csv,cataclysmos.csv,fontforge.csv,qlc.csv,tcl.csv,jcl.csv,gmerlin.csv,wxstudio.csv
chipster.csv,0.55,0.41,0.42,0.34,0.64,1.0,0.0,0.31,0.11,0.48,0.12,0.36,0.33
fontforge.csv,0.3,0.26,0.42,0.27,0.64,0.36,0.07,1.0,0.21,0.47,0.13,0.26,0.28
gmerlin.csv,0.28,0.41,0.67,0.58,0.48,0.53,0.25,0.57,0.18,0.52,0.11,1.0,0.44
hatari.csv,0.51,0.43,1.0,0.32,0.79,0.54,0.03,0.43,0.15,0.48,0.1,0.48,0.38
jcl.csv,0.8,0.79,1.0,0.33,0.52,0.78,0.0,0.0,0.12,0.43,1.0,0.67,0.0
ltp.csv,0.47,0.27,0.46,0.4,0.99,0.46,0.0,0.38,0.04,0.72,0.11,0.25,0.41
net-snmp.csv,1.0,0.35,0.5,0.43,0.72,0.46,0.05,0.46,0.14,0.4,0.13,0.39,0.45
opde.csv,0.45,0.37,0.52,0.96,0.69,0.39,0.03,0.49,0.15,0.52,0.12,0.4,0.43
powerfolder-.csv,0.86,0.97,0.27,0.5,0.39,0.38,0.33,0.59,0.47,0.57,0.14,0.62,0.43
qlc.csv,1.0,0.37,0.0,0.43,0.0,0.35,0.0,0.0,1.0,0.4,0.33,0.5,0.58
tcl.csv,0.35,0.25,0.4,0.25,0.7,0.39,0.0,0.46,0.08,1.0,0.0,0.67,0.62
wxstudio.csv,0.51,0.57,0.57,0.54,0.66,0.34,0.08,0.38,0.06,0.49,0.07,0.43,1.0
