,net-snmp.csv,powerfolder-.csv,hatari.csv,opde.csv,ltp.csv,chipster.csv,cataclysmos.csv,fontforge.csv,qlc.csv,tcl.csv,jcl.csv,gmerlin.csv,wxstudio.csv
chipster.csv,0.73,0.53,0.79,0.74,0.8,0.03,1.17,0.88,0.81,0.87,0.76,0.85,0.86
fontforge.csv,0.89,0.79,0.74,0.84,0.79,0.77,0.25,0.04,0.65,0.81,0.7,0.85,0.89
gmerlin.csv,0.91,0.61,0.86,0.73,0.94,0.73,0.06,0.56,0.84,0.72,0.76,0.0,0.9
hatari.csv,0.63,0.49,0.03,0.92,0.51,0.53,0.6,0.89,0.67,0.8,0.83,0.63,0.79
jcl.csv,0.9,0.65,0.9,0.89,0.97,0.89,1.0,1.0,0.9,0.81,0.07,0.94,1.0
ltp.csv,0.8,0.75,0.69,0.79,0.03,0.66,1.12,0.82,0.97,0.68,0.82,0.84,0.8
net-snmp.csv,0.02,0.65,0.71,0.69,0.65,0.63,0.35,0.74,0.69,0.85,0.77,0.6,0.68
opde.csv,0.94,0.66,0.6,0.08,0.84,0.77,0.6,0.68,0.68,0.67,0.97,0.62,0.75
powerfolder-.csv,0.85,0.03,0.92,0.88,0.96,0.83,0.04,0.54,0.62,0.71,0.64,0.84,0.8
qlc.csv,0.93,0.72,1.0,0.88,1.0,0.85,1.0,1.0,0.11,0.91,0.79,0.94,0.82
tcl.csv,0.86,0.84,0.88,0.9,0.74,0.83,1.0,0.67,0.95,0.05,1.0,0.94,0.87
wxstudio.csv,0.61,0.41,0.64,0.73,0.8,0.8,0.21,0.79,0.93,0.72,0.89,0.57,0.14
