,jahshakafx.csv,unladen-swallow.csv,plee-the-bear.csv,reaper-ecad.csv,nullc.csv,ns-3.csv,novembre.csv,emeraldemu.csv,open-beos.csv,maya-work-in-progress.csv,cornerstone.csv,mia.csv,jaolt.csv,mp-rechnungs-und-kundenverwaltung.csv,ardour.csv,kmess.csv,pixel-commandos.csv,xmoto.csv,buddata-ebxml-registry.csv,zxing.csv
ardour.csv,0.4,0.45,0.42,0.84,0.68,0.71,0.49,0.56,0.62,0.79,0.63,0.66,0.58,0.53,0.01,0.64,0.52,0.55,0.78,0.88
buddata-ebxml-registry.csv,1.0,1.0,1.0,1.0,1.0,0.99,1.0,0.99,1.0,1.0,1.0,1.0,1.0,0.98,1.0,1.0,1.0,0.98,0.0,1.0
cornerstone.csv,0.6,0.54,0.62,0.41,0.7,0.69,0.76,0.61,0.62,0.58,0.08,0.62,0.59,0.57,0.64,0.65,0.67,0.54,0.7,0.52
emeraldemu.csv,0.7,0.79,0.35,0.45,0.65,0.61,0.6,0.03,0.74,0.78,0.79,0.53,0.88,0.78,0.59,0.67,0.56,0.62,0.86,0.9
jahshakafx.csv,0.01,0.69,0.71,0.84,0.71,0.83,0.56,0.59,0.77,0.84,0.79,0.91,0.89,0.69,0.67,0.86,0.53,0.61,0.85,0.7
jaolt.csv,0.4,0.56,0.64,0.55,0.62,0.63,0.7,0.75,0.69,0.37,0.58,0.78,0.04,0.74,0.72,0.67,0.58,0.65,0.49,0.67
kmess.csv,0.69,0.5,0.38,0.68,0.6,0.78,0.6,0.53,0.65,0.62,0.76,0.52,0.71,0.61,0.56,0.04,0.55,0.55,0.85,0.93
maya-work-in-progress.csv,0.45,0.61,0.49,0.49,0.73,0.68,0.52,0.51,0.56,0.07,0.82,0.7,0.72,0.8,0.62,0.64,0.64,0.57,1.02,0.94
mia.csv,0.9,0.87,0.8,0.8,0.94,0.85,1.0,0.8,0.94,0.86,0.64,0.11,0.78,0.69,0.84,0.87,1.0,0.97,1.22,0.7
mp-rechnungs-und-kundenverwaltung.csv,0.81,0.73,0.65,0.94,0.92,0.69,0.55,0.78,0.8,0.97,0.83,0.68,0.78,0.13,0.68,0.73,0.77,0.7,0.91,0.95
novembre.csv,0.6,0.74,0.49,0.69,0.83,0.88,0.0,0.6,0.83,0.75,0.71,0.84,0.8,0.74,0.57,0.65,0.3,0.71,0.93,0.83
ns-3.csv,0.39,0.64,0.57,0.55,0.6,0.03,0.75,0.7,0.59,0.55,0.56,0.63,0.74,0.76,0.74,0.65,0.49,0.72,0.63,0.64
nullc.csv,0.77,0.85,0.89,0.87,0.0,0.88,0.96,0.71,0.84,0.9,0.68,0.89,0.86,0.71,0.87,0.78,0.73,0.86,0.72,0.65
open-beos.csv,0.63,0.57,0.54,0.42,0.44,0.63,0.65,0.48,0.08,0.46,0.86,0.56,0.82,0.78,0.56,0.54,0.38,0.47,1.02,0.95
pixel-commandos.csv,0.82,0.88,0.91,0.96,0.86,0.98,0.93,0.93,1.0,1.0,0.94,1.0,1.0,1.0,0.91,0.95,0.0,0.92,0.97,1.0
plee-the-bear.csv,0.99,1.0,0.15,1.0,0.92,0.8,0.83,0.95,0.88,0.94,0.79,0.94,0.81,0.76,0.96,0.84,1.04,0.79,0.84,0.84
reaper-ecad.csv,0.69,0.9,0.67,0.08,0.77,0.66,0.68,0.7,0.75,0.6,0.81,0.43,0.73,0.82,0.63,0.67,0.56,0.73,0.87,0.85
unladen-swallow.csv,0.8,0.41,0.94,0.92,0.84,0.71,0.81,0.91,0.86,0.84,0.79,0.76,0.83,0.73,0.81,0.86,1.0,0.84,0.85,0.93
xmoto.csv,0.36,0.57,0.43,0.62,0.72,0.69,0.65,0.42,0.53,0.66,0.68,0.53,0.52,0.47,0.47,0.57,0.42,0.06,0.67,0.94
zxing.csv,0.37,0.66,0.57,0.61,0.75,0.62,0.53,0.47,0.69,0.63,0.84,0.85,0.78,0.74,0.64,0.59,0.6,0.51,0.7,0.02
