,jahshakafx.csv,unladen-swallow.csv,plee-the-bear.csv,reaper-ecad.csv,nullc.csv,ns-3.csv,novembre.csv,emeraldemu.csv,open-beos.csv,maya-work-in-progress.csv,cornerstone.csv,mia.csv,jaolt.csv,mp-rechnungs-und-kundenverwaltung.csv,ardour.csv,kmess.csv,pixel-commandos.csv,xmoto.csv,buddata-ebxml-registry.csv,zxing.csv
ardour.csv,0.69,0.72,0.7,0.17,0.32,0.31,0.6,0.52,0.4,0.22,0.43,0.39,0.49,0.57,0.99,0.38,0.5,0.47,0.22,0.12
buddata-ebxml-registry.csv,1.0,1.0,1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0,0.98,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
cornerstone.csv,0.57,0.62,0.88,0.71,0.32,0.64,0.6,0.71,0.41,0.44,0.92,0.61,0.55,0.72,0.64,0.58,0.75,0.58,0.3,0.54
emeraldemu.csv,0.51,0.71,0.73,0.71,0.36,0.5,0.47,0.97,0.27,0.31,0.69,0.61,0.45,0.62,0.68,0.37,0.5,0.39,0.58,0.84
jahshakafx.csv,0.99,0.31,0.3,0.17,0.3,0.18,0.47,0.44,0.24,0.16,0.22,0.11,0.12,0.34,0.36,0.15,0.5,0.39,0.15,0.34
jaolt.csv,0.91,0.88,0.85,0.58,0.5,0.63,0.93,0.85,0.74,0.72,0.51,0.83,0.99,0.74,0.78,0.68,1.0,0.69,0.58,0.82
kmess.csv,0.41,0.68,0.76,0.42,0.46,0.28,0.53,0.57,0.42,0.47,0.27,0.72,0.32,0.47,0.47,0.96,0.5,0.58,0.15,0.09
maya-work-in-progress.csv,0.89,0.48,0.85,0.75,0.64,0.49,0.87,0.65,0.54,0.94,0.65,0.56,0.58,0.7,0.78,0.65,0.75,0.58,0.81,1.0
mia.csv,0.11,0.2,0.21,0.21,0.06,0.2,0.0,0.21,0.06,0.16,0.61,0.89,0.27,0.34,0.17,0.13,0.0,0.03,0.3,0.62
mp-rechnungs-und-kundenverwaltung.csv,0.46,0.28,0.36,0.08,0.1,0.34,0.53,0.22,0.21,0.03,0.18,0.33,0.22,0.87,0.36,0.41,0.25,0.33,0.09,0.07
novembre.csv,0.41,0.27,0.55,0.33,0.18,0.12,1.0,0.41,0.17,0.25,0.33,0.17,0.21,0.28,0.47,0.37,0.75,0.31,0.1,0.18
ns-3.csv,0.83,0.61,0.91,0.62,0.4,1.0,0.8,0.6,0.58,0.47,0.59,0.67,0.73,0.68,0.83,0.56,0.75,0.58,0.42,0.75
nullc.csv,0.72,0.61,0.58,0.88,1.0,0.79,0.87,0.71,0.71,0.53,0.55,0.83,0.6,0.81,0.67,0.63,0.75,0.72,0.28,0.39
open-beos.csv,0.84,0.77,0.58,0.71,0.6,0.46,0.53,0.7,0.92,0.56,0.88,0.56,0.62,0.62,0.69,0.53,1.0,0.64,0.79,0.88
pixel-commandos.csv,0.18,0.13,0.09,0.04,0.14,0.02,0.07,0.07,0.0,0.0,0.06,0.0,0.0,0.0,0.09,0.05,1.0,0.08,0.03,0.0
plee-the-bear.csv,0.07,0.05,0.85,0.0,0.2,0.26,0.2,0.06,0.18,0.31,0.29,0.06,0.25,0.47,0.06,0.25,0.0,0.31,0.19,0.54
reaper-ecad.csv,0.69,0.21,0.39,0.92,0.46,0.49,0.4,0.37,0.27,0.44,0.41,0.72,0.3,0.23,0.43,0.44,0.5,0.28,0.57,0.45
unladen-swallow.csv,0.24,0.59,0.06,0.08,0.24,0.4,0.27,0.1,0.15,0.16,0.63,0.28,0.23,0.45,0.27,0.33,0.0,0.36,0.6,0.71
xmoto.csv,0.73,0.66,0.64,0.42,0.66,0.34,0.47,0.64,0.61,0.34,0.71,0.5,0.53,0.72,0.67,0.53,0.75,0.94,0.33,0.27
zxing.csv,0.74,0.41,0.82,0.62,0.4,0.49,0.6,0.63,0.36,0.75,0.29,0.5,0.26,0.3,0.72,0.62,0.75,0.58,0.34,0.98
