,firebird.csv,ontomorphtab.csv,taokgame.csv,applet2app.csv,xbplayer.csv,htmlunit.csv,webdriver.csv,smarttag.csv,monetdb.csv,fmri-dmt.csv
applet2app.csv,0.56,0.53,0.37,0.48,0.41,0.42,0.34,0.38,0.37,0.39
firebird.csv,0.44,0.37,0.37,0.41,0.42,0.39,0.37,0.39,0.35,0.3
fmri-dmt.csv,0.76,0.58,0.4,0.64,0.44,0.79,0.96,0.41,0.98,0.88
htmlunit.csv,0.35,0.35,0.6,0.45,0.39,0.42,0.35,0.42,0.35,0.35
monetdb.csv,0.44,0.45,0.94,0.63,0.92,0.66,0.47,0.5,0.42,0.9
ontomorphtab.csv,0.35,0.39,0.38,0.39,0.38,0.31,0.32,0.37,0.31,0.3
smarttag.csv,0.47,0.37,0.47,0.45,0.42,0.39,0.38,0.5,0.65,0.36
taokgame.csv,0.98,0.92,0.94,0.65,0.91,0.95,0.66,0.75,0.93,0.88
webdriver.csv,0.38,0.49,0.61,0.47,0.53,0.5,0.48,0.45,0.37,0.5
xbplayer.csv,0.47,0.35,0.46,0.41,0.48,0.43,0.42,0.35,0.56,0.46
