,firebird.csv,ontomorphtab.csv,taokgame.csv,applet2app.csv,xbplayer.csv,htmlunit.csv,webdriver.csv,smarttag.csv,monetdb.csv,fmri-dmt.csv
applet2app.csv,0.43,0.45,0.71,0.63,0.76,0.65,0.66,0.57,0.74,0.35
firebird.csv,0.59,0.8,0.0,0.63,0.73,0.68,0.37,0.36,0.74,0.23
fmri-dmt.csv,0.42,0.56,0.32,0.55,0.21,0.24,0.28,0.21,0.29,0.83
htmlunit.csv,0.6,0.74,0.44,0.53,0.67,0.67,0.64,0.62,0.67,0.35
monetdb.csv,0.58,0.5,0.81,0.38,0.41,0.46,0.52,0.32,0.71,0.2
ontomorphtab.csv,0.67,0.74,0.27,0.64,0.63,0.72,0.69,0.58,0.67,0.52
smarttag.csv,0.5,0.72,0.0,0.65,0.63,0.56,0.74,0.47,0.36,0.61
taokgame.csv,0.26,0.33,0.98,0.41,0.17,0.1,0.56,0.39,0.33,0.2
webdriver.csv,0.64,0.66,0.43,0.6,0.59,0.57,0.78,0.7,0.63,0.68
xbplayer.csv,0.51,0.71,0.6,0.65,0.7,0.65,0.65,0.59,0.57,0.52
