,pustefix.csv,haggle.csv,mediate.csv,jgossipforum.csv,madman.csv,hannosset.csv,ngl.csv,jas.csv,coot.csv,synecdoche.csv,emono.csv
coot.csv,0.66,0.56,0.9,0.72,0.59,0.62,0.54,0.45,0.51,0.59,0.71
emono.csv,0.58,0.42,0.39,0.54,0.41,0.35,0.49,0.56,0.52,0.43,0.53
haggle.csv,0.48,0.57,0.0,0.95,0.61,0.51,0.64,0.89,0.62,0.58,0.93
hannosset.csv,0.0,0.0,0.5,0.0,0.0,0.83,0.0,0.0,0.0,0.0,0.8
jas.csv,0.0,0.0,0.88,0.94,0.0,0.0,0.83,0.88,0.0,0.0,0.67
jgossipforum.csv,0.0,0.5,0.67,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
madman.csv,0.0,0.8,0.5,0.0,0.88,0.91,0.98,0.0,0.0,0.0,0.5
mediate.csv,0.5,0.6,0.47,0.46,0.8,0.93,0.83,0.63,0.94,0.92,0.96
ngl.csv,0.5,0.54,0.38,0.5,0.53,0.61,0.56,0.44,0.46,0.49,0.55
pustefix.csv,0.77,0.92,0.7,0.61,0.91,0.5,0.95,0.97,0.67,0.8,0.95
synecdoche.csv,0.63,0.82,0.42,0.63,0.73,0.62,0.81,0.64,0.58,0.62,0.73
