,hatari.csv,nullc.csv,superwaba.csv,lmms.csv,etherboot.csv,vienna-add-in.csv,voms.csv,tycho.csv,fityk.csv,mecat.csv,wsmt.csv,oscarmcmaster.csv
etherboot.csv,0.87,0.63,0.95,0.66,0.82,0.86,0.88,0.9,0.91,0.56,0.45,0.63
fityk.csv,0.5,0.71,0.51,0.51,0.62,0.68,0.71,0.68,0.45,0.38,0.39,0.52
hatari.csv,0.61,0.73,0.46,0.56,0.44,0.53,0.56,0.93,0.5,0.36,0.58,0.5
lmms.csv,0.6,0.44,0.95,0.49,0.46,0.51,0.57,0.52,0.39,0.35,0.5,0.5
mecat.csv,0.0,0.0,0.67,0.0,0.0,0.67,0.0,0.0,0.0,0.67,0.0,0.75
nullc.csv,0.42,0.45,0.55,0.41,0.42,0.4,0.5,0.42,0.35,0.35,0.41,0.44
oscarmcmaster.csv,0.67,0.64,0.66,0.95,0.75,0.94,0.83,0.64,0.92,0.83,0.38,0.98
superwaba.csv,0.75,0.67,0.53,0.54,0.63,0.51,0.69,0.44,0.52,0.41,0.43,0.5
tycho.csv,0.7,0.59,0.56,0.6,0.83,0.52,0.57,0.54,0.6,0.55,0.71,0.67
vienna-add-in.csv,0.42,0.44,0.44,0.4,0.41,0.54,0.52,0.37,0.36,0.34,0.46,0.46
voms.csv,0.85,0.92,0.53,0.98,0.8,0.97,0.9,0.86,0.0,0.75,0.8,0.79
wsmt.csv,0.88,0.78,0.89,0.95,0.93,0.93,0.67,0.8,0.9,0.88,0.65,0.96
