,hatari.csv,nullc.csv,superwaba.csv,lmms.csv,etherboot.csv,vienna-add-in.csv,voms.csv,tycho.csv,fityk.csv,mecat.csv,wsmt.csv,oscarmcmaster.csv
etherboot.csv,0.24,0.46,0.18,0.37,0.95,0.27,0.11,0.11,0.2,0.0,0.8,0.3
fityk.csv,0.45,0.26,0.6,0.57,0.18,0.37,0.0,0.26,0.95,1.0,0.71,0.47
hatari.csv,0.97,0.28,0.74,0.58,0.68,0.51,0.89,0.23,0.59,1.0,0.51,0.55
lmms.csv,0.62,0.56,0.18,0.95,0.64,0.31,0.33,0.43,0.75,1.0,0.17,0.34
mecat.csv,0.0,0.0,0.04,0.0,0.0,0.04,0.0,0.0,0.0,1.0,0.0,0.06
nullc.csv,1.0,0.98,0.42,0.9,1.0,0.45,0.44,1.0,1.0,1.0,0.26,0.47
oscarmcmaster.csv,0.45,0.28,0.46,0.13,0.27,0.17,0.22,0.4,0.25,0.67,0.51,0.87
superwaba.csv,0.34,0.38,0.94,0.48,0.41,0.46,0.22,0.66,0.34,1.0,0.91,0.49
tycho.csv,0.41,0.34,0.66,0.46,0.27,0.43,0.56,1.0,0.52,0.67,0.06,0.47
vienna-add-in.csv,1.0,1.0,0.76,1.0,1.0,0.95,1.0,0.83,0.95,1.0,0.63,0.53
voms.csv,0.31,0.22,0.62,0.19,0.09,0.28,1.0,0.37,0.02,0.67,0.14,0.26
wsmt.csv,0.1,0.3,0.14,0.14,0.23,0.1,0.11,0.17,0.14,0.0,0.89,0.09
