,hatari.csv,nullc.csv,superwaba.csv,lmms.csv,etherboot.csv,vienna-add-in.csv,voms.csv,tycho.csv,fityk.csv,mecat.csv,wsmt.csv,oscarmcmaster.csv
etherboot.csv,0.28,0.44,0.21,0.4,0.96,0.31,0.13,0.13,0.24,0.0,0.65,0.33
fityk.csv,0.48,0.3,0.6,0.53,0.21,0.4,0.0,0.3,0.96,0.68,0.38,0.47
hatari.csv,0.98,0.32,0.66,0.59,0.58,0.47,0.6,0.27,0.61,0.41,0.51,0.53
lmms.csv,0.63,0.57,0.21,0.96,0.59,0.35,0.37,0.47,0.64,0.79,0.19,0.37
mecat.csv,0.0,0.0,0.05,0.0,0.0,0.05,0.0,0.0,0.0,1.0,0.0,0.07
nullc.csv,0.13,0.98,0.45,0.39,0.13,0.47,0.46,0.45,0.0,0.71,0.28,0.49
oscarmcmaster.csv,0.48,0.33,0.5,0.16,0.31,0.2,0.26,0.43,0.29,0.7,0.45,0.89
superwaba.csv,0.39,0.41,0.95,0.51,0.43,0.47,0.26,0.65,0.38,0.77,0.74,0.5
tycho.csv,0.45,0.39,0.65,0.5,0.31,0.46,0.57,1.0,0.55,0.67,0.07,0.51
vienna-add-in.csv,0.0,0.0,0.67,0.0,0.0,0.96,0.0,0.0,0.0,0.09,0.55,0.51
voms.csv,0.35,0.26,0.5,0.22,0.11,0.32,1.0,0.41,0.02,0.71,0.17,0.3
wsmt.csv,0.12,0.34,0.17,0.17,0.27,0.12,0.13,0.2,0.17,0.0,0.91,0.11
