,hatari.csv,nullc.csv,superwaba.csv,lmms.csv,etherboot.csv,vienna-add-in.csv,voms.csv,tycho.csv,fityk.csv,mecat.csv,wsmt.csv,oscarmcmaster.csv
etherboot.csv,0.32,0.57,0.26,0.47,0.95,0.39,0.12,0.18,0.33,0.0,0.68,0.21
fityk.csv,0.47,0.41,0.5,0.6,0.16,0.48,0.0,0.33,0.98,0.12,0.58,0.28
hatari.csv,0.98,0.43,0.54,0.66,0.39,0.56,0.24,0.33,0.68,0.1,0.53,0.31
lmms.csv,0.61,0.68,0.26,0.97,0.4,0.43,0.2,0.52,0.73,0.15,0.21,0.24
mecat.csv,0.0,0.0,0.08,0.0,0.0,0.07,0.0,0.0,0.0,1.0,0.0,0.12
nullc.csv,0.62,0.99,0.41,0.75,0.43,0.54,0.19,0.74,0.8,0.13,0.29,0.31
oscarmcmaster.csv,0.49,0.44,0.49,0.23,0.32,0.28,0.27,0.47,0.39,0.27,0.49,0.93
superwaba.csv,0.44,0.51,0.97,0.57,0.3,0.54,0.18,0.67,0.45,0.14,0.76,0.3
tycho.csv,0.46,0.51,0.55,0.58,0.3,0.53,0.26,1.0,0.62,0.16,0.08,0.39
vienna-add-in.csv,0.62,0.9,0.55,0.79,0.42,0.98,0.21,0.63,0.78,0.09,0.58,0.3
voms.csv,0.37,0.35,0.42,0.29,0.15,0.4,0.95,0.46,0.04,0.57,0.25,0.23
wsmt.csv,0.16,0.44,0.24,0.24,0.27,0.16,0.17,0.27,0.22,0.0,0.94,0.11
