,hatari.csv,nullc.csv,superwaba.csv,lmms.csv,etherboot.csv,vienna-add-in.csv,voms.csv,tycho.csv,fityk.csv,mecat.csv,wsmt.csv,oscarmcmaster.csv
etherboot.csv,0.47,0.77,0.47,0.62,0.95,0.76,0.12,0.4,0.82,0.0,0.6,0.17
fityk.csv,0.5,0.93,0.43,0.63,0.14,0.66,0.0,0.47,1.0,0.07,0.49,0.19
hatari.csv,1.0,0.93,0.43,0.75,0.28,0.62,0.14,0.57,0.81,0.05,0.55,0.21
lmms.csv,0.6,0.88,0.45,1.0,0.29,0.7,0.14,0.65,0.72,0.08,0.27,0.19
mecat.csv,0.0,0.0,0.67,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.75
nullc.csv,0.45,1.0,0.4,0.65,0.27,0.67,0.12,0.59,0.67,0.07,0.33,0.23
oscarmcmaster.csv,0.54,1.0,0.52,0.82,0.38,0.88,0.33,0.56,0.92,0.17,0.46,1.0
superwaba.csv,0.62,0.79,1.0,0.72,0.24,0.64,0.15,0.68,0.65,0.08,0.65,0.22
tycho.csv,0.52,1.0,0.47,0.77,0.33,0.69,0.17,1.0,0.77,0.09,0.14,0.33
vienna-add-in.csv,0.45,0.82,0.43,0.65,0.27,1.0,0.12,0.51,0.66,0.05,0.54,0.2
voms.csv,0.45,0.85,0.32,0.59,0.4,0.72,0.9,0.62,1.0,0.5,1.0,0.21
wsmt.csv,0.38,0.83,0.78,0.86,0.33,0.57,0.33,0.6,0.6,0.0,1.0,0.16
