,dsworkbench.csv,adonthell.csv,freelords.csv,jpaul.csv,scenemonitor.csv,avisynth2.csv,gephex.csv,ngl.csv,jas.csv,coot.csv,synecdoche.csv
adonthell.csv,0.72,0.64,0.72,0.24,0.38,0.09,0.78,0.39,0.19,0.08,0.57
avisynth2.csv,0.33,0.0,0.05,0.19,0.17,0.67,0.0,0.0,0.0,0.0,0.0
coot.csv,0.0,0.31,0.59,0.45,0.48,0.0,0.58,0.56,0.06,0.74,0.47
dsworkbench.csv,0.86,0.21,0.12,0.11,0.23,0.0,0.33,0.09,0.33,0.12,0.15
freelords.csv,0.73,0.49,0.72,0.65,0.57,0.11,0.44,0.61,0.1,0.67,0.43
gephex.csv,0.86,0.66,0.8,0.47,0.49,0.0,0.74,0.54,0.06,0.66,0.53
jas.csv,0.29,0.54,0.4,0.32,0.24,0.29,0.41,0.59,0.5,0.37,0.2
jpaul.csv,0.84,0.4,0.5,0.68,0.47,0.0,0.12,0.29,0.2,0.19,0.11
ngl.csv,0.85,0.61,0.73,0.47,0.55,0.21,0.67,0.67,0.15,0.71,0.44
scenemonitor.csv,0.81,0.45,0.55,0.54,0.75,0.0,0.46,0.65,0.05,0.25,0.2
synecdoche.csv,0.78,0.47,0.85,0.44,0.48,0.0,0.6,0.44,0.06,0.61,0.68
